CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1167|119314|0.97
01|01001|000100000000000|131|1742|119314|1.46
01|01001|000100000000000|132|375|119314|0.31
01|01001|000100000000000|133|4318|119314|3.61
01|01001|000100000000000|135|53811|119314|45.10
01|01001|000100000000000|136|41754|119314|34.99
01|01001|000100000000000|137|8185|119314|6.86
01|01001|000100000000000|36|140|119314|0.11
01|01001|000100000000000|57|158|119314|0.13
01|01001|000100000000000|87|4055|119314|3.39
01|01001|000201000000000|01-187|1308|119180|1.09
01|01001|000201000000000|01-262|390|119180|0.32
01|01001|000201000000000|01-343|277|119180|0.23
01|01001|000201000000000|01-501|4550|119180|3.81
01|01001|000201000000000|01-502|39958|119180|33.52
01|01001|000201000000000|01-503|53783|119180|45.12
01|01001|000201000000000|01-504|7121|119180|5.97
01|01001|000201000000000|13|1016|119180|0.85
01|01001|000201000000000|5|1718|119180|1.44
01|01001|000201000000000|86|134|119180|0.11
01|01001|000201000000000|87|3634|119180|3.04
01|01001|000201000000000|88|159|119180|0.13
01|01001|000301000000000|01-187|1662|119105|1.39
01|01001|000301000000000|01-262|388|119105|0.32
01|01001|000301000000000|01-343|262|119105|0.21
01|01001|000301000000000|01-501|5084|119105|4.26
01|01001|000301000000000|01-502|39181|119105|32.89
01|01001|000301000000000|01-503|53480|119105|44.90
01|01001|000301000000000|01-504|7128|119105|5.98
01|01001|000301000000000|13|985|119105|0.82
01|01001|000301000000000|5|1695|119105|1.42
01|01001|000301000000000|86|133|119105|0.11
01|01001|000301000000000|87|3550|119105|2.98
01|01001|000301000000000|88|175|119105|0.14
01|01001|000501000000000|01-187|1259|119825|1.05
01|01001|000501000000000|01-501|4464|119825|3.72
01|01001|000501000000000|01-502|40361|119825|33.68
01|01001|000501000000000|01-503|55600|119825|46.40
01|01001|000501000000000|01-504|6973|119825|5.81
01|01001|000501000000000|13|984|119825|0.82
01|01001|000501000000000|87|25|119825|0.02
01|01001|000501000000000|88|181|119825|0.15
01|01001|000801000000000|01-187|1316|119976|1.09
01|01001|000801000000000|01-501|4784|119976|3.98
01|01001|000801000000000|01-502|39826|119976|33.19
01|01001|000801000000000|01-503|54140|119976|45.12
01|01001|000801000000000|01-504|6766|119976|5.63
01|01001|000801000000000|13|1010|119976|0.84
01|01001|000801000000000|5|1635|119976|1.36
01|01001|000801000000000|87|3388|119976|2.82
01|01001|000801000000000|88|196|119976|0.16
01|01001|000901001000000|01-501|4873|119647|4.07
01|01001|000901001000000|01-502|39803|119647|33.26
01|01001|000901001000000|01-503|54192|119647|45.29
01|01001|000901001000000|01-504|6783|119647|5.66
01|01001|000901001000000|13|1043|119647|0.87
01|01001|000901001000000|5|1627|119647|1.35
01|01002|000100000000000|13|706|82791|0.85
01|01002|000100000000000|131|1438|82791|1.73
01|01002|000100000000000|132|135|82791|0.16
01|01002|000100000000000|133|2190|82791|2.64
01|01002|000100000000000|135|51736|82791|62.48
01|01002|000100000000000|136|16041|82791|19.37
01|01002|000100000000000|137|5458|82791|6.59
01|01002|000100000000000|36|64|82791|0.07
01|01002|000100000000000|57|54|82791|0.06
01|01002|000100000000000|87|2939|82791|3.54
01|01002|000201000000000|01-187|652|82659|0.78
01|01002|000201000000000|01-262|156|82659|0.18
01|01002|000201000000000|01-343|91|82659|0.11
01|01002|000201000000000|01-501|2350|82659|2.84
01|01002|000201000000000|01-502|15461|82659|18.70
01|01002|000201000000000|01-503|51022|82659|61.72
01|01002|000201000000000|01-504|4552|82659|5.50
01|01002|000201000000000|13|605|82659|0.73
01|01002|000201000000000|5|2397|82659|2.89
01|01002|000201000000000|86|58|82659|0.07
01|01002|000201000000000|87|2589|82659|3.13
01|01002|000201000000000|88|55|82659|0.06
01|01002|000301000000000|01-187|914|82680|1.10
01|01002|000301000000000|01-262|157|82680|0.18
01|01002|000301000000000|01-343|88|82680|0.10
01|01002|000301000000000|01-501|2705|82680|3.27
01|01002|000301000000000|01-502|15156|82680|18.33
01|01002|000301000000000|01-503|50926|82680|61.59
01|01002|000301000000000|01-504|4594|82680|5.55
01|01002|000301000000000|13|586|82680|0.70
01|01002|000301000000000|5|2345|82680|2.83
01|01002|000301000000000|86|57|82680|0.06
01|01002|000301000000000|87|2527|82680|3.05
01|01002|000301000000000|88|63|82680|0.07
01|01002|000501000000000|01-187|626|82582|0.75
01|01002|000501000000000|01-501|2262|82582|2.73
01|01002|000501000000000|01-502|15622|82582|18.91
01|01002|000501000000000|01-503|53008|82582|64.18
01|01002|000501000000000|01-504|4416|82582|5.34
01|01002|000501000000000|13|566|82582|0.68
01|01002|000501000000000|87|4|82582|0.00
01|01002|000501000000000|88|69|82582|0.08
01|01002|000801000000000|01-187|651|82877|0.78
01|01002|000801000000000|01-501|2396|82877|2.89
01|01002|000801000000000|01-502|15380|82877|18.55
01|01002|000801000000000|01-503|51429|82877|62.05
01|01002|000801000000000|01-504|4246|82877|5.12
01|01002|000801000000000|13|582|82877|0.70
01|01002|000801000000000|5|2230|82877|2.69
01|01002|000801000000000|87|2409|82877|2.90
01|01002|000801000000000|88|84|82877|0.10
01|01002|000901002000000|01-501|2423|82728|2.92
01|01002|000901002000000|01-502|15398|82728|18.61
01|01002|000901002000000|01-503|51493|82728|62.24
01|01002|000901002000000|01-504|4248|82728|5.13
01|01002|000901002000000|13|591|82728|0.71
01|01002|000901002000000|5|2211|82728|2.67
01|01003|000100000000000|13|1352|113044|1.19
01|01003|000100000000000|131|1390|113044|1.22
01|01003|000100000000000|132|397|113044|0.35
