CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1173|120004|0.97
01|01001|000100000000000|131|1749|120004|1.45
01|01001|000100000000000|132|375|120004|0.31
01|01001|000100000000000|133|4328|120004|3.60
01|01001|000100000000000|135|54232|120004|45.19
01|01001|000100000000000|136|41910|120004|34.92
01|01001|000100000000000|137|8230|120004|6.85
01|01001|000100000000000|36|140|120004|0.11
01|01001|000100000000000|57|159|120004|0.13
01|01001|000100000000000|87|4077|120004|3.39
01|01001|000201000000000|01-187|1319|119869|1.10
01|01001|000201000000000|01-262|390|119869|0.32
01|01001|000201000000000|01-343|278|119869|0.23
01|01001|000201000000000|01-501|4562|119869|3.80
01|01001|000201000000000|01-502|40102|119869|33.45
01|01001|000201000000000|01-503|54205|119869|45.22
01|01001|000201000000000|01-504|7157|119869|5.97
01|01001|000201000000000|13|1022|119869|0.85
01|01001|000201000000000|5|1734|119869|1.44
01|01001|000201000000000|86|135|119869|0.11
01|01001|000201000000000|87|3655|119869|3.04
01|01001|000201000000000|88|159|119869|0.13
01|01001|000301000000000|01-187|1678|119797|1.40
01|01001|000301000000000|01-262|388|119797|0.32
01|01001|000301000000000|01-343|263|119797|0.21
01|01001|000301000000000|01-501|5098|119797|4.25
01|01001|000301000000000|01-502|39323|119797|32.82
01|01001|000301000000000|01-503|53900|119797|44.99
01|01001|000301000000000|01-504|7165|119797|5.98
01|01001|000301000000000|13|991|119797|0.82
01|01001|000301000000000|5|1709|119797|1.42
01|01001|000301000000000|86|134|119797|0.11
01|01001|000301000000000|87|3570|119797|2.98
01|01001|000301000000000|88|175|119797|0.14
01|01001|000501000000000|01-187|1266|120502|1.05
01|01001|000501000000000|01-501|4477|120502|3.71
01|01001|000501000000000|01-502|40509|120502|33.61
01|01001|000501000000000|01-503|56036|120502|46.50
01|01001|000501000000000|01-504|7004|120502|5.81
01|01001|000501000000000|13|989|120502|0.82
01|01001|000501000000000|87|25|120502|0.02
01|01001|000501000000000|88|181|120502|0.15
01|01001|000801000000000|01-187|1325|120660|1.09
01|01001|000801000000000|01-501|4799|120660|3.97
01|01001|000801000000000|01-502|39970|120660|33.12
01|01001|000801000000000|01-503|54564|120660|45.22
01|01001|000801000000000|01-504|6797|120660|5.63
01|01001|000801000000000|13|1015|120660|0.84
01|01001|000801000000000|5|1646|120660|1.36
