CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|508|000100000000000|VB|3609
01|01001|522|508|000100000000000|VII|14
01|01001|522|508|000100000000000|VN|999
01|01001|522|508|000100000000000|VR|62
01|01001|522|508|000201000000000|VB|5132
01|01001|522|508|000201000000000|VII|7
01|01001|522|508|000201000000000|VN|934
01|01001|522|508|000201000000000|VR|60
01|01001|522|508|000301000000000|VB|5382
01|01001|522|508|000301000000000|VII|9
01|01001|522|508|000301000000000|VN|961
01|01001|522|508|000301000000000|VR|64
01|01001|522|508|000501000000000|VB|9978
01|01001|522|508|000501000000000|VII|9
01|01001|522|508|000501000000000|VN|907
01|01001|522|508|000501000000000|VR|61
01|01001|522|508|000801000000000|VB|6915
01|01001|522|508|000801000000000|VII|10
01|01001|522|508|000801000000000|VN|918
01|01001|522|508|000801000000000|VR|60
01|01001|522|508|000901001000000|VB|11326
01|01001|522|508|000901001000000|VII|10
01|01001|522|508|000901001000000|VN|873
01|01001|522|508|000901001000000|VR|66
01|01002|417|405|000100000000000|VB|2430
01|01002|417|405|000100000000000|VII|20
01|01002|417|405|000100000000000|VN|741
01|01002|417|405|000100000000000|VR|39
01|01002|417|405|000201000000000|VB|3318
01|01002|417|405|000201000000000|VII|20
01|01002|417|405|000201000000000|VN|743
01|01002|417|405|000201000000000|VR|43
01|01002|417|405|000301000000000|VB|3148
01|01002|417|405|000301000000000|VII|20
01|01002|417|405|000301000000000|VN|740
01|01002|417|405|000301000000000|VR|43
01|01002|417|405|000501000000000|VB|7299
01|01002|417|405|000501000000000|VII|24
01|01002|417|405|000501000000000|VN|649
01|01002|417|405|000501000000000|VR|47
01|01002|417|405|000801000000000|VB|4291
01|01002|417|405|000801000000000|VII|20
01|01002|417|405|000801000000000|VN|690
01|01002|417|405|000801000000000|VR|44
01|01002|417|405|000901002000000|VB|7684
01|01002|417|405|000901002000000|VII|24
01|01002|417|405|000901002000000|VN|640
01|01002|417|405|000901002000000|VR|65
01|01003|472|460|000100000000000|VB|3714
01|01003|472|460|000100000000000|VII|6
01|01003|472|460|000100000000000|VN|1269
01|01003|472|460|000100000000000|VR|25
01|01003|472|460|000201000000000|VB|4973
01|01003|472|460|000201000000000|VII|5
01|01003|472|460|000201000000000|VN|1236
01|01003|472|460|000201000000000|VR|24
01|01003|472|460|000301000000000|VB|5315
01|01003|472|460|000301000000000|VII|5
01|01003|472|460|000301000000000|VN|1218
01|01003|472|460|000301000000000|VR|24
01|01003|472|460|000501000000000|VB|9878
