CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|166961|23504829|0.71
00000000|000100000000000|131|622361|23504829|2.64
00000000|000100000000000|132|56356|23504829|0.23
00000000|000100000000000|133|669941|23504829|2.85
00000000|000100000000000|135|7563005|23504829|32.17
00000000|000100000000000|136|11179491|23504829|47.56
00000000|000100000000000|137|1936194|23504829|8.23
00000000|000100000000000|36|31589|23504829|0.13
00000000|000100000000000|57|35366|23504829|0.15
00000000|000100000000000|87|515533|23504829|2.19
00000000|000201000000000|01-187|24254|1895952|1.27
00000000|000201000000000|01-262|5170|1895952|0.27
00000000|000201000000000|01-343|3817|1895952|0.20
00000000|000201000000000|01-501|79665|1895952|4.20
00000000|000201000000000|01-502|601202|1895952|31.70
00000000|000201000000000|01-503|862855|1895952|45.51
00000000|000201000000000|01-504|142114|1895952|7.49
00000000|000201000000000|13|18205|1895952|0.96
00000000|000201000000000|5|17699|1895952|0.93
00000000|000201000000000|86|1913|1895952|0.10
00000000|000201000000000|87|59449|1895952|3.13
00000000|000201000000000|88|1979|1895952|0.10
00000000|000206000000000|06-156|18250|542099|3.36
00000000|000206000000000|06-179|2586|542099|0.47
00000000|000206000000000|06-180|1657|542099|0.30
00000000|000206000000000|06-501|330133|542099|60.89
00000000|000206000000000|06-502|2643|542099|0.48
00000000|000206000000000|06-503|136288|542099|25.14
00000000|000206000000000|06-504|12400|542099|2.28
00000000|000206000000000|33|4261|542099|0.78
00000000|000206000000000|71|6652|542099|1.22
00000000|000208000000000|08-501|352065|793392|44.37
00000000|000208000000000|08-502|289888|793392|36.53
00000000|000208000000000|13|7212|793392|0.90
00000000|000208000000000|50|68300|793392|8.60
00000000|000208000000000|68|17364|793392|2.18
00000000|000215000000000|13|4146|372058|1.11
00000000|000215000000000|15-151|76058|372058|20.44
00000000|000215000000000|15-501|89146|372058|23.96
00000000|000215000000000|15-502|18436|372058|4.95
00000000|000215000000000|15-503|129591|372058|34.83
00000000|000215000000000|15-504|18614|372058|5.00
00000000|000216000000000|13|3751|377416|0.99
00000000|000216000000000|16-169|111368|377416|29.50
00000000|000216000000000|16-502|165922|377416|43.96
00000000|000216000000000|16-503|12299|377416|3.25
00000000|000217000000000|17-501|302329|624029|48.44
00000000|000217000000000|17-502|113050|624029|18.11
00000000|000217000000000|17-503|141099|624029|22.61
00000000|000217000000000|17-504|21112|624029|3.38
00000000|000217000000000|19|28591|624029|4.58
00000000|000222000000000|22-178|3739|531844|0.70
00000000|000222000000000|22-179|2949|531844|0.55
00000000|000222000000000|22-501|300571|531844|56.51
00000000|000222000000000|22-502|106753|531844|20.07
00000000|000222000000000|22-503|71619|531844|13.46
00000000|000222000000000|38|5403|531844|1.01
00000000|000222000000000|40|14448|531844|2.71
00000000|000222000000000|87|3785|531844|0.71
00000000|000224000000000|24-187|4562|89131|5.11
00000000|000224000000000|24-203|2530|89131|2.83
00000000|000224000000000|24-501|36867|89131|41.36
00000000|000224000000000|24-502|15411|89131|17.29
00000000|000224000000000|24-503|11136|89131|12.49
00000000|000224000000000|69|8174|89131|9.17
00000000|000301000000000|01-187|31347|1895638|1.65
00000000|000301000000000|01-262|5139|1895638|0.27
00000000|000301000000000|01-343|3829|1895638|0.20
00000000|000301000000000|01-501|89224|1895638|4.70
00000000|000301000000000|01-502|589808|1895638|31.11
00000000|000301000000000|01-503|854442|1895638|45.07
00000000|000301000000000|01-504|142178|1895638|7.50
00000000|000301000000000|13|17735|1895638|0.93
00000000|000301000000000|5|17744|1895638|0.93
00000000|000301000000000|86|1944|1895638|0.10
00000000|000301000000000|87|58591|1895638|3.09
00000000|000301000000000|88|2120|1895638|0.11
00000000|000302000000000|02-207|14508|8614383|0.16
00000000|000302000000000|02-276|64452|8614383|0.74
00000000|000302000000000|02-309|10271|8614383|0.11
00000000|000302000000000|02-312|22031|8614383|0.25
00000000|000302000000000|02-314|7385|8614383|0.08
00000000|000302000000000|02-315|1691|8614383|0.01
00000000|000302000000000|02-503|4201742|8614383|48.77
00000000|000302000000000|02-816|19054|8614383|0.22
00000000|000302000000000|133|316201|8614383|3.67
00000000|000302000000000|135|2675540|8614383|31.05
00000000|000302000000000|137|583470|8614383|6.77
00000000|000302000000000|79|8313|8614383|0.09
00000000|000303000000000|03-183|839|155385|0.53
00000000|000303000000000|03-198|480|155385|0.30
00000000|000303000000000|03-218|647|155385|0.41
00000000|000303000000000|03-501|940|155385|0.60
00000000|000303000000000|03-503|88627|155385|57.03
00000000|000303000000000|03-504|7515|155385|4.83
00000000|000303000000000|03-505|1915|155385|1.23
00000000|000303000000000|03-506|39692|155385|25.54
00000000|000304000000000|04-217|48569|2009464|2.41
00000000|000304000000000|04-501|9263|2009464|0.46
00000000|000304000000000|04-502|826709|2009464|41.14
00000000|000304000000000|04-503|336635|2009464|16.75
00000000|000304000000000|04-504|61274|2009464|3.04
00000000|000304000000000|04-505|467014|2009464|23.24
00000000|000304000000000|04-506|103909|2009464|5.17
00000000|000304000000000|13|15921|2009464|0.79
00000000|000304000000000|23|2865|2009464|0.14
00000000|000304000000000|57|7325|2009464|0.36
00000000|000304000000000|87|41869|2009464|2.08
00000000|000305000000000|05-216|18665|578367|3.22
00000000|000305000000000|05-501|302438|578367|52.29
00000000|000305000000000|05-502|207443|578367|35.86
00000000|000305000000000|05-503|26589|578367|4.59
00000000|000306000000000|06-156|18063|538776|3.35
00000000|000306000000000|06-179|2685|538776|0.49
00000000|000306000000000|06-180|1724|538776|0.31
00000000|000306000000000|06-501|324137|538776|60.16
00000000|000306000000000|06-502|2862|538776|0.53
00000000|000306000000000|06-503|136369|538776|25.31
00000000|000306000000000|06-504|12274|538776|2.27
00000000|000306000000000|33|4266|538776|0.79
00000000|000306000000000|71|6680|538776|1.23
00000000|000307000000000|07-151|6686|288921|2.31
00000000|000307000000000|07-152|17558|288921|6.07
00000000|000307000000000|07-501|118680|288921|41.07
00000000|000307000000000|07-502|31953|288921|11.05
00000000|000307000000000|07-503|65446|288921|22.65
00000000|000307000000000|07-504|10941|288921|3.78
00000000|000308000000000|08-501|348947|791739|44.07
00000000|000308000000000|08-502|289214|791739|36.52
00000000|000308000000000|13|7204|791739|0.90
00000000|000308000000000|50|68527|791739|8.65
00000000|000308000000000|68|17865|791739|2.25
00000000|000309000000000|09-501|199904|310393|64.40
00000000|000309000000000|09-502|11053|310393|3.56
00000000|000309000000000|09-503|79819|310393|25.71
00000000|000309000000000|38|2817|310393|0.90
00000000|000310000000000|10-501|155916|332242|46.92
00000000|000310000000000|10-502|92566|332242|27.86
00000000|000310000000000|10-503|27571|332242|8.29
00000000|000310000000000|10-504|16008|332242|4.81
00000000|000310000000000|33|3913|332242|1.17
00000000|000311000000000|11-501|102812|204484|50.27
00000000|000311000000000|11-502|67804|204484|33.15
00000000|000311000000000|11-503|4718|204484|2.30
00000000|000311000000000|13|2426|204484|1.18
00000000|000311000000000|50|15309|204484|7.48
00000000|000312000000000|12-501|3949|175849|2.24
00000000|000312000000000|12-502|57451|175849|32.67
00000000|000312000000000|12-503|89327|175849|50.79
00000000|000312000000000|13|1460|175849|0.83
00000000|000312000000000|33|137|175849|0.07
00000000|000312000000000|82|4501|175849|2.55
00000000|000313000000000|13-222|96901|1054223|9.19
00000000|000313000000000|13-501|46500|1054223|4.41
00000000|000313000000000|13-502|421387|1054223|39.97
00000000|000313000000000|13-503|412013|1054223|39.08
00000000|000314000000000|14-501|146154|630359|23.18
00000000|000314000000000|14-502|224469|630359|35.60
00000000|000314000000000|14-503|163734|630359|25.97
00000000|000314000000000|50|20636|630359|3.27
00000000|000314000000000|71|7802|630359|1.23
00000000|000315000000000|13|3932|371875|1.05
00000000|000315000000000|15-151|71933|371875|19.34
00000000|000315000000000|15-501|87494|371875|23.52
00000000|000315000000000|15-502|19467|371875|5.23
00000000|000315000000000|15-503|130107|371875|34.98
00000000|000315000000000|15-504|18777|371875|5.04
00000000|000316000000000|13|3840|373856|1.02
00000000|000316000000000|16-169|86736|373856|23.20
00000000|000316000000000|16-501|52611|373856|14.07
00000000|000316000000000|16-502|164868|373856|44.09
00000000|000316000000000|16-503|12754|373856|3.41
00000000|000317000000000|17-501|300509|619099|48.53
00000000|000317000000000|17-502|111190|619099|17.95
00000000|000317000000000|17-503|138454|619099|22.36
00000000|000317000000000|17-504|22578|619099|3.64
00000000|000317000000000|19|27914|619099|4.50
00000000|000318000000000|18-168|5821|414703|1.40
00000000|000318000000000|18-177|1093|414703|0.26
00000000|000318000000000|18-501|225220|414703|54.30
00000000|000318000000000|18-502|6029|414703|1.45
00000000|000318000000000|18-503|126831|414703|30.58
00000000|000318000000000|18-504|31910|414703|7.69
00000000|000319000000000|137|20172|265038|7.61
00000000|000319000000000|19-213|2374|265038|0.89
00000000|000319000000000|19-501|7991|265038|3.01
00000000|000319000000000|19-502|93094|265038|35.12
00000000|000319000000000|19-503|116276|265038|43.87
00000000|000320000000000|13|919|160144|0.57
00000000|000320000000000|20-176|7260|160144|4.53
00000000|000320000000000|20-501|4481|160144|2.79
00000000|000320000000000|20-502|66249|160144|41.36
00000000|000320000000000|20-503|28363|160144|17.71
00000000|000321000000000|13|10412|1894558|0.54
00000000|000321000000000|21-177|2131|1894558|0.11
00000000|000321000000000|21-199|2274|1894558|0.12
00000000|000321000000000|21-501|62334|1894558|3.29
00000000|000321000000000|21-502|231561|1894558|12.22
00000000|000321000000000|21-503|42348|1894558|2.23
00000000|000321000000000|21-504|630394|1894558|33.27
00000000|000321000000000|21-505|803020|1894558|42.38
00000000|000321000000000|21-506|2739|1894558|0.14
00000000|000321000000000|36|3561|1894558|0.18
00000000|000321000000000|65|2903|1894558|0.15
00000000|000321000000000|87|53100|1894558|2.80
00000000|000322000000000|22-178|3589|528256|0.67
00000000|000322000000000|22-179|2678|528256|0.50
00000000|000322000000000|22-501|296216|528256|56.07
00000000|000322000000000|22-502|105801|528256|20.02
00000000|000322000000000|22-503|70464|528256|13.33
00000000|000322000000000|38|5429|528256|1.02
00000000|000322000000000|40|14556|528256|2.75
00000000|000322000000000|87|3701|528256|0.70
00000000|000323000000000|23-181|55325|910830|6.07
00000000|000323000000000|23-501|485750|910830|53.33
00000000|000323000000000|23-502|220298|910830|24.18
00000000|000323000000000|23-503|19518|910830|2.14
00000000|000323000000000|23-504|62543|910830|6.86
00000000|000324000000000|24-187|4540|90481|5.01
00000000|000324000000000|24-203|3085|90481|3.40
00000000|000324000000000|24-501|34672|90481|38.31
00000000|000324000000000|24-502|14441|90481|15.96
00000000|000324000000000|24-503|11817|90481|13.06
00000000|000324000000000|69|6244|90481|6.90
01|000100000000000|13|21137|1897435|1.11
01|000100000000000|131|22228|1897435|1.17
01|000100000000000|132|5104|1897435|0.26
01|000100000000000|133|74463|1897435|3.92
01|000100000000000|135|847941|1897435|44.68
01|000100000000000|136|627447|1897435|33.06
01|000100000000000|137|165691|1897435|8.73
01|000100000000000|36|2086|1897435|0.10
01|000100000000000|57|2362|1897435|0.12
01|000100000000000|87|67633|1897435|3.56
01|000201000000000|01-187|24254|1895952|1.27
01|000201000000000|01-262|5170|1895952|0.27
01|000201000000000|01-343|3817|1895952|0.20
01|000201000000000|01-501|79665|1895952|4.20
