CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1157|118371|0.97
01|01001|000100000000000|131|1722|118371|1.45
01|01001|000100000000000|132|373|118371|0.31
01|01001|000100000000000|133|4289|118371|3.62
01|01001|000100000000000|135|53333|118371|45.05
01|01001|000100000000000|136|41475|118371|35.03
01|01001|000100000000000|137|8122|118371|6.86
01|01001|000100000000000|36|139|118371|0.11
01|01001|000100000000000|57|154|118371|0.13
01|01001|000100000000000|87|4025|118371|3.40
01|01001|000201000000000|01-187|1286|118235|1.08
01|01001|000201000000000|01-262|388|118235|0.32
01|01001|000201000000000|01-343|277|118235|0.23
01|01001|000201000000000|01-501|4521|118235|3.82
01|01001|000201000000000|01-502|39693|118235|33.57
01|01001|000201000000000|01-503|53309|118235|45.08
01|01001|000201000000000|01-504|7068|118235|5.97
01|01001|000201000000000|13|1009|118235|0.85
01|01001|000201000000000|5|1691|118235|1.43
01|01001|000201000000000|86|132|118235|0.11
01|01001|000201000000000|87|3610|118235|3.05
01|01001|000201000000000|88|156|118235|0.13
01|01001|000301000000000|01-187|1633|118160|1.38
01|01001|000301000000000|01-262|386|118160|0.32
01|01001|000301000000000|01-343|262|118160|0.22
01|01001|000301000000000|01-501|5053|118160|4.27
01|01001|000301000000000|01-502|38926|118160|32.94
01|01001|000301000000000|01-503|53006|118160|44.85
01|01001|000301000000000|01-504|7074|118160|5.98
01|01001|000301000000000|13|978|118160|0.82
01|01001|000301000000000|5|1668|118160|1.41
01|01001|000301000000000|86|132|118160|0.11
01|01001|000301000000000|87|3527|118160|2.98
01|01001|000301000000000|88|172|118160|0.14
01|01001|000501000000000|01-187|1240|118881|1.04
01|01001|000501000000000|01-501|4436|118881|3.73
01|01001|000501000000000|01-502|40102|118881|33.73
01|01001|000501000000000|01-503|55107|118881|46.35
01|01001|000501000000000|01-504|6919|118881|5.82
01|01001|000501000000000|13|977|118881|0.82
01|01001|000501000000000|87|25|118881|0.02
01|01001|000501000000000|88|178|118881|0.14
01|01001|000801000000000|01-187|1297|119032|1.08
01|01001|000801000000000|01-501|4753|119032|3.99
01|01001|000801000000000|01-502|39569|119032|33.24
01|01001|000801000000000|01-503|53659|119032|45.07
01|01001|000801000000000|01-504|6715|119032|5.64
01|01001|000801000000000|13|1003|119032|0.84
01|01001|000801000000000|5|1612|119032|1.35
01|01001|000801000000000|87|3366|119032|2.82
01|01001|000801000000000|88|193|119032|0.16
01|01001|000901001000000|01-501|4840|118703|4.07
01|01001|000901001000000|01-502|39548|118703|33.31
01|01001|000901001000000|01-503|53709|118703|45.24
01|01001|000901001000000|01-504|6734|118703|5.67
01|01001|000901001000000|13|1035|118703|0.87
01|01001|000901001000000|5|1604|118703|1.35
01|01002|000100000000000|13|688|79477|0.86
01|01002|000100000000000|131|1353|79477|1.70
01|01002|000100000000000|132|122|79477|0.15
01|01002|000100000000000|133|2129|79477|2.67
01|01002|000100000000000|135|49423|79477|62.18
01|01002|000100000000000|136|15575|79477|19.59
01|01002|000100000000000|137|5284|79477|6.64
01|01002|000100000000000|36|64|79477|0.08
01|01002|000100000000000|57|52|79477|0.06
01|01002|000100000000000|87|2822|79477|3.55
01|01002|000201000000000|01-187|635|79369|0.80
01|01002|000201000000000|01-262|143|79369|0.18
01|01002|000201000000000|01-343|90|79369|0.11
01|01002|000201000000000|01-501|2280|79369|2.87
01|01002|000201000000000|01-502|15014|79369|18.91
01|01002|000201000000000|01-503|48767|79369|61.44
01|01002|000201000000000|01-504|4438|79369|5.59
01|01002|000201000000000|13|589|79369|0.74
01|01002|000201000000000|5|2247|79369|2.83
01|01002|000201000000000|86|56|79369|0.07
01|01002|000201000000000|87|2478|79369|3.12
01|01002|000201000000000|88|52|79369|0.06
01|01002|000301000000000|01-187|891|79393|1.12
01|01002|000301000000000|01-262|144|79393|0.18
01|01002|000301000000000|01-343|87|79393|0.10
01|01002|000301000000000|01-501|2622|79393|3.30
01|01002|000301000000000|01-502|14718|79393|18.53
01|01002|000301000000000|01-503|48673|79393|61.30
01|01002|000301000000000|01-504|4475|79393|5.63
01|01002|000301000000000|13|571|79393|0.71
01|01002|000301000000000|5|2198|79393|2.76
01|01002|000301000000000|86|55|79393|0.06
01|01002|000301000000000|87|2422|79393|3.05
