CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|504|000100000000000|VB|3582
01|01001|522|504|000100000000000|VII|14
01|01001|522|504|000100000000000|VN|991
01|01001|522|504|000100000000000|VR|62
01|01001|522|504|000201000000000|VB|5095
01|01001|522|504|000201000000000|VII|7
01|01001|522|504|000201000000000|VN|926
01|01001|522|504|000201000000000|VR|60
01|01001|522|504|000301000000000|VB|5343
01|01001|522|504|000301000000000|VII|9
01|01001|522|504|000301000000000|VN|953
01|01001|522|504|000301000000000|VR|64
01|01001|522|504|000501000000000|VB|9897
01|01001|522|504|000501000000000|VII|9
01|01001|522|504|000501000000000|VN|899
01|01001|522|504|000501000000000|VR|61
01|01001|522|504|000801000000000|VB|6865
01|01001|522|504|000801000000000|VII|10
01|01001|522|504|000801000000000|VN|910
01|01001|522|504|000801000000000|VR|60
01|01001|522|504|000901001000000|VB|11233
01|01001|522|504|000901001000000|VII|10
01|01001|522|504|000901001000000|VN|865
01|01001|522|504|000901001000000|VR|66
01|01002|417|317|000100000000000|VB|1957
01|01002|417|317|000100000000000|VII|17
01|01002|417|317|000100000000000|VN|583
01|01002|417|317|000100000000000|VR|19
01|01002|417|317|000201000000000|VB|2576
01|01002|417|317|000201000000000|VII|17
01|01002|417|317|000201000000000|VN|586
01|01002|417|317|000201000000000|VR|21
01|01002|417|317|000301000000000|VB|2474
01|01002|417|317|000301000000000|VII|17
01|01002|417|317|000301000000000|VN|590
01|01002|417|317|000301000000000|VR|19
01|01002|417|317|000501000000000|VB|5768
01|01002|417|317|000501000000000|VII|21
01|01002|417|317|000501000000000|VN|513
01|01002|417|317|000501000000000|VR|18
01|01002|417|317|000801000000000|VB|3353
01|01002|417|317|000801000000000|VII|17
01|01002|417|317|000801000000000|VN|551
01|01002|417|317|000801000000000|VR|18
01|01002|417|317|000901002000000|VB|6137
01|01002|417|317|000901002000000|VII|21
01|01002|417|317|000901002000000|VN|495
01|01002|417|317|000901002000000|VR|31
01|01003|472|457|000100000000000|VB|3696
01|01003|472|457|000100000000000|VII|6
01|01003|472|457|000100000000000|VN|1256
