CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01001|000100000000000|13|000100000000000.13.A.000100000000000.13|1157
01|01001|000100000000000|131|000100000000000.131.A.000100000000000.131|1722
01|01001|000100000000000|132|000100000000000.132.A.000100000000000.132|373
01|01001|000100000000000|133|000100000000000.133.A.000100000000000.133|4289
01|01001|000100000000000|135|000100000000000.135.A.000100000000000.135|53333
01|01001|000100000000000|136|000100000000000.136.A.000100000000000.136|41475
01|01001|000100000000000|137|000100000000000.137.A.000100000000000.137|8122
01|01001|000100000000000|36|000100000000000.36.A.000100000000000.36|139
01|01001|000100000000000|57|000100000000000.57.A.000100000000000.57|154
01|01001|000100000000000|87|000100000000000.87.A.000100000000000.87|4025
01|01001|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1286
01|01001|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|388
01|01001|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|277
01|01001|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|4521
01|01001|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|39693
01|01001|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|53309
01|01001|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|7068
01|01001|000201000000000|13|000201000000000.13.A.000201000000000.13|1009
01|01001|000201000000000|5|000201000000000.5.A.000201000000000.5|1691
01|01001|000201000000000|86|000201000000000.86.A.000201000000000.86|132
01|01001|000201000000000|87|000201000000000.87.A.000201000000000.87|3610
01|01001|000201000000000|88|000201000000000.88.1A.000201000000000.88|156
01|01001|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1633
01|01001|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|386
01|01001|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|262
01|01001|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5053
01|01001|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|38926
01|01001|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|53006
01|01001|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|7074
01|01001|000301000000000|13|000301000000000.13.A.000301000000000.13|978
01|01001|000301000000000|5|000301000000000.5.A.000301000000000.5|1668
01|01001|000301000000000|86|000301000000000.86.A.000301000000000.86|132
01|01001|000301000000000|87|000301000000000.87.A.000301000000000.87|3527
01|01001|000301000000000|88|000301000000000.88.1A.000301000000000.88|172
01|01001|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1240
01|01001|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|4436
01|01001|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40102
01|01001|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|55107
01|01001|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|6919
01|01001|000501000000000|13|000501000000000.13.A.000501000000000.13|977
01|01001|000501000000000|87|000501000000000.87.B.000501000000000.87|25
01|01001|000501000000000|88|000501000000000.88.1A.000501000000000.88|178
01|01001|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1297
01|01001|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|4753
01|01001|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39569
01|01001|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|53659
01|01001|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|6715
01|01001|000801000000000|13|000801000000000.13.A.000801000000000.13|1003
01|01001|000801000000000|5|000801000000000.5.A.000801000000000.5|1612
01|01001|000801000000000|87|000801000000000.87.A.000801000000000.87|3358
01|01001|000801000000000|87|000801000000000.87.B.000801000000000.87|8
01|01001|000801000000000|88|000801000000000.88.1A.000801000000000.88|193
01|01001|000901001000000|01-501|000901001000000.01-501.A.000901001000000.01-501|4840
01|01001|000901001000000|01-502|000901001000000.01-502.A.000901001000000.01-502|39548
01|01001|000901001000000|01-503|000901001000000.01-503.A.000901001000000.01-503|53709
01|01001|000901001000000|01-504|000901001000000.01-504.A.000901001000000.01-504|6734
01|01001|000901001000000|13|000901001000000.13.A.000901001000000.13|1035
01|01001|000901001000000|5|000901001000000.5.A.000901001000000.5|1604
01|01002|000100000000000|13|000100000000000.13.A.000100000000000.13|688
01|01002|000100000000000|131|000100000000000.131.A.000100000000000.131|1353
01|01002|000100000000000|132|000100000000000.132.A.000100000000000.132|122
01|01002|000100000000000|133|000100000000000.133.A.000100000000000.133|2129
01|01002|000100000000000|135|000100000000000.135.A.000100000000000.135|49423
01|01002|000100000000000|136|000100000000000.136.A.000100000000000.136|15575
01|01002|000100000000000|137|000100000000000.137.A.000100000000000.137|5284
01|01002|000100000000000|36|000100000000000.36.A.000100000000000.36|64
01|01002|000100000000000|57|000100000000000.57.A.000100000000000.57|52
01|01002|000100000000000|87|000100000000000.87.A.000100000000000.87|2822
01|01002|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|635
01|01002|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|143
01|01002|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|90
01|01002|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|2280
01|01002|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|15014
01|01002|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|48767
01|01002|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|4438
01|01002|000201000000000|13|000201000000000.13.A.000201000000000.13|589
01|01002|000201000000000|5|000201000000000.5.A.000201000000000.5|2247
01|01002|000201000000000|86|000201000000000.86.A.000201000000000.86|56
01|01002|000201000000000|87|000201000000000.87.A.000201000000000.87|2478
01|01002|000201000000000|88|000201000000000.88.1A.000201000000000.88|52
01|01002|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|891
01|01002|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|144
01|01002|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|87
01|01002|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|2622
01|01002|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|14718
01|01002|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|48673
01|01002|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|4475
01|01002|000301000000000|13|000301000000000.13.A.000301000000000.13|571
01|01002|000301000000000|5|000301000000000.5.A.000301000000000.5|2198
01|01002|000301000000000|86|000301000000000.86.A.000301000000000.86|55
01|01002|000301000000000|87|000301000000000.87.A.000301000000000.87|2422
01|01002|000301000000000|88|000301000000000.88.1A.000301000000000.88|60
01|01002|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|611
01|01002|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|2193
01|01002|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|15175
01|01002|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|50625
01|01002|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|4303
01|01002|000501000000000|13|000501000000000.13.A.000501000000000.13|551
01|01002|000501000000000|87|000501000000000.87.B.000501000000000.87|4
01|01002|000501000000000|88|000501000000000.88.1A.000501000000000.88|67
01|01002|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|634
01|01002|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|2321
01|01002|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|14943
01|01002|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|49135
01|01002|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|4139
01|01002|000801000000000|13|000801000000000.13.A.000801000000000.13|567
01|01002|000801000000000|5|000801000000000.5.A.000801000000000.5|2096
01|01002|000801000000000|87|000801000000000.87.A.000801000000000.87|2284
01|01002|000801000000000|87|000801000000000.87.B.000801000000000.87|24
01|01002|000801000000000|88|000801000000000.88.1A.000801000000000.88|82
01|01002|000901002000000|01-501|000901002000000.01-501.A.000901002000000.01-501|2348
01|01002|000901002000000|01-502|000901002000000.01-502.A.000901002000000.01-502|14955
01|01002|000901002000000|01-503|000901002000000.01-503.A.000901002000000.01-503|49196
01|01002|000901002000000|01-504|000901002000000.01-504.A.000901002000000.01-504|4140
01|01002|000901002000000|13|000901002000000.13.A.000901002000000.13|576
01|01002|000901002000000|5|000901002000000.5.A.000901002000000.5|2079
01|01003|000100000000000|13|000100000000000.13.A.000100000000000.13|1352
01|01003|000100000000000|131|000100000000000.131.A.000100000000000.131|1390
01|01003|000100000000000|132|000100000000000.132.A.000100000000000.132|397
01|01003|000100000000000|133|000100000000000.133.A.000100000000000.133|4991
01|01003|000100000000000|135|000100000000000.135.A.000100000000000.135|45429
01|01003|000100000000000|136|000100000000000.136.A.000100000000000.136|42036
