CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1167|119314|0.97
01|01001|000100000000000|131|1742|119314|1.46
01|01001|000100000000000|132|375|119314|0.31
01|01001|000100000000000|133|4318|119314|3.61
01|01001|000100000000000|135|53811|119314|45.10
01|01001|000100000000000|136|41754|119314|34.99
01|01001|000100000000000|137|8185|119314|6.86
01|01001|000100000000000|36|140|119314|0.11
01|01001|000100000000000|57|158|119314|0.13
01|01001|000100000000000|87|4055|119314|3.39
01|01001|000201000000000|01-187|1308|119180|1.09
01|01001|000201000000000|01-262|390|119180|0.32
01|01001|000201000000000|01-343|277|119180|0.23
01|01001|000201000000000|01-501|4550|119180|3.81
01|01001|000201000000000|01-502|39958|119180|33.52
01|01001|000201000000000|01-503|53783|119180|45.12
01|01001|000201000000000|01-504|7121|119180|5.97
01|01001|000201000000000|13|1016|119180|0.85
01|01001|000201000000000|5|1718|119180|1.44
01|01001|000201000000000|86|134|119180|0.11
01|01001|000201000000000|87|3634|119180|3.04
01|01001|000201000000000|88|159|119180|0.13
01|01001|000301000000000|01-187|1662|119105|1.39
01|01001|000301000000000|01-262|388|119105|0.32
01|01001|000301000000000|01-343|262|119105|0.21
01|01001|000301000000000|01-501|5084|119105|4.26
01|01001|000301000000000|01-502|39181|119105|32.89
01|01001|000301000000000|01-503|53480|119105|44.90
01|01001|000301000000000|01-504|7128|119105|5.98
01|01001|000301000000000|13|985|119105|0.82
01|01001|000301000000000|5|1695|119105|1.42
01|01001|000301000000000|86|133|119105|0.11
01|01001|000301000000000|87|3550|119105|2.98
01|01001|000301000000000|88|175|119105|0.14
01|01001|000501000000000|01-187|1259|119825|1.05
01|01001|000501000000000|01-501|4464|119825|3.72
01|01001|000501000000000|01-502|40361|119825|33.68
01|01001|000501000000000|01-503|55600|119825|46.40
01|01001|000501000000000|01-504|6973|119825|5.81
01|01001|000501000000000|13|984|119825|0.82
01|01001|000501000000000|87|25|119825|0.02
01|01001|000501000000000|88|181|119825|0.15
01|01001|000801000000000|01-187|1316|119976|1.09
01|01001|000801000000000|01-501|4784|119976|3.98
01|01001|000801000000000|01-502|39826|119976|33.19
01|01001|000801000000000|01-503|54140|119976|45.12
01|01001|000801000000000|01-504|6766|119976|5.63
01|01001|000801000000000|13|1010|119976|0.84
01|01001|000801000000000|5|1635|119976|1.36
01|01001|000801000000000|87|3388|119976|2.82
01|01001|000801000000000|88|196|119976|0.16
01|01001|000901001000000|01-501|4873|119647|4.07
01|01001|000901001000000|01-502|39803|119647|33.26
01|01001|000901001000000|01-503|54192|119647|45.29
01|01001|000901001000000|01-504|6783|119647|5.66
01|01001|000901001000000|13|1043|119647|0.87
01|01001|000901001000000|5|1627|119647|1.35
01|01002|000100000000000|13|741|88996|0.83
01|01002|000100000000000|131|1537|88996|1.72
01|01002|000100000000000|132|143|88996|0.16
01|01002|000100000000000|133|2303|88996|2.58
01|01002|000100000000000|135|55831|88996|62.73
01|01002|000100000000000|136|17258|88996|19.39
01|01002|000100000000000|137|5768|88996|6.48
01|01002|000100000000000|36|67|88996|0.07
01|01002|000100000000000|57|57|88996|0.06
01|01002|000100000000000|87|3133|88996|3.52
01|01002|000201000000000|01-187|683|88643|0.77
01|01002|000201000000000|01-262|165|88643|0.18
01|01002|000201000000000|01-343|98|88643|0.11
01|01002|000201000000000|01-501|2472|88643|2.78
01|01002|000201000000000|01-502|16564|88643|18.68
01|01002|000201000000000|01-503|54876|88643|61.90
01|01002|000201000000000|01-504|4807|88643|5.42
01|01002|000201000000000|13|630|88643|0.71
01|01002|000201000000000|5|2580|88643|2.91
01|01002|000201000000000|86|61|88643|0.06
01|01002|000201000000000|87|2763|88643|3.11
01|01002|000201000000000|88|61|88643|0.06
01|01002|000301000000000|01-187|963|88655|1.08
01|01002|000301000000000|01-262|165|88655|0.18
01|01002|000301000000000|01-343|93|88655|0.10
01|01002|000301000000000|01-501|2843|88655|3.20
01|01002|000301000000000|01-502|16249|88655|18.32
01|01002|000301000000000|01-503|54781|88655|61.79
01|01002|000301000000000|01-504|4851|88655|5.47
01|01002|000301000000000|13|611|88655|0.68
01|01002|000301000000000|5|2517|88655|2.83
01|01002|000301000000000|86|61|88655|0.06
01|01002|000301000000000|87|2699|88655|3.04
01|01002|000301000000000|88|74|88655|0.08
01|01002|000501000000000|01-187|654|88534|0.73
01|01002|000501000000000|01-501|2377|88534|2.68
01|01002|000501000000000|01-502|16731|88534|18.89
01|01002|000501000000000|01-503|57008|88534|64.39
01|01002|000501000000000|01-504|4669|88534|5.27
01|01002|000501000000000|13|590|88534|0.66
01|01002|000501000000000|87|4|88534|0.00
01|01002|000501000000000|88|79|88534|0.08
01|01002|000801000000000|01-187|681|88884|0.76
01|01002|000801000000000|01-501|2521|88884|2.83
01|01002|000801000000000|01-502|16476|88884|18.53
01|01002|000801000000000|01-503|55327|88884|62.24
01|01002|000801000000000|01-504|4481|88884|5.04
01|01002|000801000000000|13|605|88884|0.68
01|01002|000801000000000|5|2391|88884|2.69
01|01002|000801000000000|87|2572|88884|2.89
01|01002|000801000000000|88|90|88884|0.10
01|01002|000901002000000|01-501|2549|88672|2.87
01|01002|000901002000000|01-502|16486|88672|18.59
01|01002|000901002000000|01-503|55386|88672|62.46
01|01002|000901002000000|01-504|4485|88672|5.05
01|01002|000901002000000|13|615|88672|0.69
01|01002|000901002000000|5|2374|88672|2.67
01|01003|000100000000000|13|1355|113309|1.19
01|01003|000100000000000|131|1396|113309|1.23
01|01003|000100000000000|132|398|113309|0.35
