CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|345|000100000000000|VB|2380
01|01001|522|345|000100000000000|VII|2380
01|01001|522|345|000100000000000|VN|2380
01|01001|522|345|000100000000000|VR|2380
01|01001|522|345|000201000000000|VB|2380
01|01001|522|345|000201000000000|VII|2380
01|01001|522|345|000201000000000|VN|2380
01|01001|522|345|000201000000000|VR|2380
01|01001|522|345|000301000000000|VB|2380
01|01001|522|345|000301000000000|VII|2380
01|01001|522|345|000301000000000|VN|2380
01|01001|522|345|000301000000000|VR|2380
01|01001|522|345|000501000000000|VB|2415
01|01001|522|345|000501000000000|VII|2415
01|01001|522|345|000501000000000|VN|2415
01|01001|522|345|000501000000000|VR|2415
01|01001|522|345|000801000000000|VB|2415
01|01001|522|345|000801000000000|VII|2415
01|01001|522|345|000801000000000|VN|2415
01|01001|522|345|000801000000000|VR|2415
01|01001|522|345|000901001000000|VB|2415
01|01001|522|345|000901001000000|VII|2415
01|01001|522|345|000901001000000|VN|2415
01|01001|522|345|000901001000000|VR|2415
01|01002|417|273|000100000000000|VB|1911
01|01002|417|273|000100000000000|VII|1911
01|01002|417|273|000100000000000|VN|1911
01|01002|417|273|000100000000000|VR|1911
01|01002|417|273|000201000000000|VB|1911
01|01002|417|273|000201000000000|VII|1911
01|01002|417|273|000201000000000|VN|1911
01|01002|417|273|000201000000000|VR|1911
01|01002|417|273|000301000000000|VB|1911
01|01002|417|273|000301000000000|VII|1911
01|01002|417|273|000301000000000|VN|1911
01|01002|417|273|000301000000000|VR|1911
01|01002|417|273|000501000000000|VB|1911
01|01002|417|273|000501000000000|VII|1911
01|01002|417|273|000501000000000|VN|1911
01|01002|417|273|000501000000000|VR|1911
01|01002|417|273|000801000000000|VB|1911
01|01002|417|273|000801000000000|VII|1911
01|01002|417|273|000801000000000|VN|1911
01|01002|417|273|000801000000000|VR|1911
01|01002|417|273|000901002000000|VB|1911
01|01002|417|273|000901002000000|VII|1911
01|01002|417|273|000901002000000|VN|1911
01|01002|417|273|000901002000000|VR|1911
01|01004|529|348|000100000000000|VB|2415
01|01004|529|348|000100000000000|VII|2415
01|01004|529|348|000100000000000|VN|2415
01|01004|529|348|000100000000000|VR|2415
01|01004|529|348|000201000000000|VB|2415
01|01004|529|348|000201000000000|VII|2415
01|01004|529|348|000201000000000|VN|2415
01|01004|529|348|000201000000000|VR|2415
01|01004|529|348|000301000000000|VB|2415
01|01004|529|348|000301000000000|VII|2415
01|01004|529|348|000301000000000|VN|2415
