CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1165|119077|0.97
01|01001|000100000000000|131|1736|119077|1.45
01|01001|000100000000000|132|375|119077|0.31
01|01001|000100000000000|133|4314|119077|3.62
01|01001|000100000000000|135|53662|119077|45.06
01|01001|000100000000000|136|41712|119077|35.02
01|01001|000100000000000|137|8168|119077|6.85
01|01001|000100000000000|36|140|119077|0.11
01|01001|000100000000000|57|157|119077|0.13
01|01001|000100000000000|87|4047|119077|3.39
01|01001|000201000000000|01-187|1304|118943|1.09
01|01001|000201000000000|01-262|390|118943|0.32
01|01001|000201000000000|01-343|277|118943|0.23
01|01001|000201000000000|01-501|4546|118943|3.82
01|01001|000201000000000|01-502|39919|118943|33.56
01|01001|000201000000000|01-503|53638|118943|45.09
01|01001|000201000000000|01-504|7106|118943|5.97
01|01001|000201000000000|13|1014|118943|0.85
01|01001|000201000000000|5|1708|118943|1.43
01|01001|000201000000000|86|134|118943|0.11
01|01001|000201000000000|87|3625|118943|3.04
01|01001|000201000000000|88|159|118943|0.13
01|01001|000301000000000|01-187|1656|118868|1.39
01|01001|000301000000000|01-262|388|118868|0.32
01|01001|000301000000000|01-343|262|118868|0.22
01|01001|000301000000000|01-501|5083|118868|4.27
01|01001|000301000000000|01-502|39141|118868|32.92
01|01001|000301000000000|01-503|53333|118868|44.86
01|01001|000301000000000|01-504|7113|118868|5.98
01|01001|000301000000000|13|983|118868|0.82
01|01001|000301000000000|5|1685|118868|1.41
01|01001|000301000000000|86|133|118868|0.11
01|01001|000301000000000|87|3543|118868|2.98
01|01001|000301000000000|88|175|118868|0.14
01|01001|000501000000000|01-187|1256|119588|1.05
01|01001|000501000000000|01-501|4460|119588|3.72
01|01001|000501000000000|01-502|40322|119588|33.71
01|01001|000501000000000|01-503|55450|119588|46.36
01|01001|000501000000000|01-504|6956|119588|5.81
01|01001|000501000000000|13|982|119588|0.82
01|01001|000501000000000|87|25|119588|0.02
01|01001|000501000000000|88|181|119588|0.15
01|01001|000801000000000|01-187|1313|119739|1.09
01|01001|000801000000000|01-501|4780|119739|3.99
01|01001|000801000000000|01-502|39788|119739|33.22
