CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|154395|21574641|0.71
00000000|000100000000000|131|570267|21574641|2.64
00000000|000100000000000|132|51936|21574641|0.24
00000000|000100000000000|133|622432|21574641|2.88
00000000|000100000000000|135|6982835|21574641|32.36
00000000|000100000000000|136|10189338|21574641|47.22
00000000|000100000000000|137|1811315|21574641|8.39
00000000|000100000000000|36|25763|21574641|0.11
00000000|000100000000000|57|33039|21574641|0.15
00000000|000100000000000|87|482016|21574641|2.23
00000000|000201000000000|01-187|23597|1834964|1.28
00000000|000201000000000|01-262|5028|1834964|0.27
00000000|000201000000000|01-343|3734|1834964|0.20
00000000|000201000000000|01-501|77691|1834964|4.23
00000000|000201000000000|01-502|586431|1834964|31.95
00000000|000201000000000|01-503|829277|1834964|45.19
00000000|000201000000000|01-504|138320|1834964|7.53
00000000|000201000000000|13|17687|1834964|0.96
00000000|000201000000000|5|16599|1834964|0.90
00000000|000201000000000|86|1874|1834964|0.10
00000000|000201000000000|87|57549|1834964|3.13
00000000|000201000000000|88|1928|1834964|0.10
00000000|000206000000000|06-156|14637|412509|3.54
00000000|000206000000000|06-179|2206|412509|0.53
00000000|000206000000000|06-180|1412|412509|0.34
00000000|000206000000000|06-501|243832|412509|59.10
00000000|000206000000000|06-502|2197|412509|0.53
00000000|000206000000000|06-503|106358|412509|25.78
00000000|000206000000000|06-504|10217|412509|2.47
00000000|000206000000000|33|3707|412509|0.89
00000000|000206000000000|71|5794|412509|1.40
00000000|000208000000000|08-501|347499|782892|44.38
00000000|000208000000000|08-502|285768|782892|36.50
00000000|000208000000000|13|7147|782892|0.91
00000000|000208000000000|50|67491|782892|8.62
00000000|000208000000000|68|17118|782892|2.18
00000000|000215000000000|13|3727|334526|1.11
00000000|000215000000000|15-151|66105|334526|19.76
00000000|000215000000000|15-501|81485|334526|24.35
00000000|000215000000000|15-502|16619|334526|4.96
00000000|000215000000000|15-503|117064|334526|34.99
00000000|000215000000000|15-504|17119|334526|5.11
00000000|000216000000000|13|3688|367053|1.00
00000000|000216000000000|16-169|107927|367053|29.40
00000000|000216000000000|16-502|161328|367053|43.95
00000000|000216000000000|16-503|12072|367053|3.28
00000000|000217000000000|17-501|299170|618666|48.35
00000000|000217000000000|17-502|111863|618666|18.08
00000000|000217000000000|17-503|140375|618666|22.68
00000000|000217000000000|17-504|21004|618666|3.39
00000000|000217000000000|19|28463|618666|4.60
00000000|000222000000000|22-178|3725|529384|0.70
00000000|000222000000000|22-179|2945|529384|0.55
00000000|000222000000000|22-501|299058|529384|56.49
00000000|000222000000000|22-502|106203|529384|20.06
00000000|000222000000000|22-503|71386|529384|13.48
00000000|000222000000000|38|5383|529384|1.01
00000000|000222000000000|40|14386|529384|2.71
00000000|000222000000000|87|3777|529384|0.71
00000000|000224000000000|24-187|4506|87063|5.17
00000000|000224000000000|24-203|2510|87063|2.88
00000000|000224000000000|24-501|35966|87063|41.31
00000000|000224000000000|24-502|15132|87063|17.38
00000000|000224000000000|24-503|10951|87063|12.57
00000000|000224000000000|69|7844|87063|9.00
00000000|000301000000000|01-187|30447|1834655|1.65
00000000|000301000000000|01-262|4998|1834655|0.27
00000000|000301000000000|01-343|3748|1834655|0.20
00000000|000301000000000|01-501|86949|1834655|4.73
00000000|000301000000000|01-502|575329|1834655|31.35
00000000|000301000000000|01-503|821073|1834655|44.75
00000000|000301000000000|01-504|138352|1834655|7.54
00000000|000301000000000|13|17245|1834655|0.93
00000000|000301000000000|5|16657|1834655|0.90
00000000|000301000000000|86|1902|1834655|0.10
00000000|000301000000000|87|56726|1834655|3.09
00000000|000301000000000|88|2056|1834655|0.11
00000000|000302000000000|02-207|13053|7824211|0.16
00000000|000302000000000|02-276|57926|7824211|0.74
00000000|000302000000000|02-309|9016|7824211|0.11
00000000|000302000000000|02-312|19702|7824211|0.25
00000000|000302000000000|02-314|6749|7824211|0.08
00000000|000302000000000|02-315|1501|7824211|0.01
00000000|000302000000000|02-503|3813311|7824211|48.73
00000000|000302000000000|02-816|17234|7824211|0.22
00000000|000302000000000|133|285088|7824211|3.64
00000000|000302000000000|135|2434648|7824211|31.11
00000000|000302000000000|137|528241|7824211|6.75
00000000|000302000000000|79|7568|7824211|0.09
00000000|000303000000000|03-183|484|96549|0.50
00000000|000303000000000|03-198|277|96549|0.28
00000000|000303000000000|03-218|235|96549|0.24
00000000|000303000000000|03-501|746|96549|0.77
00000000|000303000000000|03-503|56012|96549|58.01
00000000|000303000000000|03-504|4408|96549|4.56
00000000|000303000000000|03-505|1162|96549|1.20
00000000|000303000000000|03-506|24062|96549|24.92
00000000|000304000000000|04-217|48447|2004833|2.41
00000000|000304000000000|04-501|9250|2004833|0.46
00000000|000304000000000|04-502|824807|2004833|41.14
00000000|000304000000000|04-503|335884|2004833|16.75
00000000|000304000000000|04-504|61152|2004833|3.05
00000000|000304000000000|04-505|465897|2004833|23.23
00000000|000304000000000|04-506|103676|2004833|5.17
00000000|000304000000000|13|15877|2004833|0.79
00000000|000304000000000|23|2858|2004833|0.14
00000000|000304000000000|57|7300|2004833|0.36
00000000|000304000000000|87|41787|2004833|2.08
00000000|000305000000000|05-216|273|13325|2.04
00000000|000305000000000|05-501|9077|13325|68.12
00000000|000305000000000|05-502|3185|13325|23.90
00000000|000305000000000|05-503|420|13325|3.15
00000000|000306000000000|06-156|14490|410018|3.53
00000000|000306000000000|06-179|2301|410018|0.56
00000000|000306000000000|06-180|1471|410018|0.35
00000000|000306000000000|06-501|239451|410018|58.40
00000000|000306000000000|06-502|2418|410018|0.58
00000000|000306000000000|06-503|106337|410018|25.93
00000000|000306000000000|06-504|10074|410018|2.45
00000000|000306000000000|33|3728|410018|0.90
00000000|000306000000000|71|5809|410018|1.41
00000000|000307000000000|07-151|5873|260721|2.25
00000000|000307000000000|07-152|16363|260721|6.27
00000000|000307000000000|07-501|106574|260721|40.87
00000000|000307000000000|07-502|28475|260721|10.92
00000000|000307000000000|07-503|59740|260721|22.91
00000000|000307000000000|07-504|10082|260721|3.86
00000000|000308000000000|08-501|344490|781238|44.09
00000000|000308000000000|08-502|284985|781238|36.47
00000000|000308000000000|13|7138|781238|0.91
00000000|000308000000000|50|67705|781238|8.66
00000000|000308000000000|68|17627|781238|2.25
00000000|000309000000000|09-501|194299|302263|64.28
00000000|000309000000000|09-502|10921|302263|3.61
00000000|000309000000000|09-503|77658|302263|25.69
00000000|000309000000000|38|2776|302263|0.91
00000000|000310000000000|10-501|148078|316422|46.79
00000000|000310000000000|10-502|88101|316422|27.84
00000000|000310000000000|10-503|26445|316422|8.35
00000000|000310000000000|10-504|15300|316422|4.83
