CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01001|000100000000000|13|000100000000000.13.A.000100000000000.13|1167
01|01001|000100000000000|131|000100000000000.131.A.000100000000000.131|1742
01|01001|000100000000000|132|000100000000000.132.A.000100000000000.132|375
01|01001|000100000000000|133|000100000000000.133.A.000100000000000.133|4318
01|01001|000100000000000|135|000100000000000.135.A.000100000000000.135|53811
01|01001|000100000000000|136|000100000000000.136.A.000100000000000.136|41754
01|01001|000100000000000|137|000100000000000.137.A.000100000000000.137|8185
01|01001|000100000000000|36|000100000000000.36.A.000100000000000.36|140
01|01001|000100000000000|57|000100000000000.57.A.000100000000000.57|158
01|01001|000100000000000|87|000100000000000.87.A.000100000000000.87|4055
01|01001|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1308
01|01001|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|390
01|01001|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|277
01|01001|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|4550
01|01001|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|39958
01|01001|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|53783
01|01001|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|7121
01|01001|000201000000000|13|000201000000000.13.A.000201000000000.13|1016
01|01001|000201000000000|5|000201000000000.5.A.000201000000000.5|1718
01|01001|000201000000000|86|000201000000000.86.A.000201000000000.86|134
01|01001|000201000000000|87|000201000000000.87.A.000201000000000.87|3634
01|01001|000201000000000|88|000201000000000.88.1A.000201000000000.88|159
01|01001|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1662
01|01001|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|388
01|01001|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|262
01|01001|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5084
01|01001|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|39181
01|01001|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|53480
01|01001|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|7128
01|01001|000301000000000|13|000301000000000.13.A.000301000000000.13|985
01|01001|000301000000000|5|000301000000000.5.A.000301000000000.5|1695
01|01001|000301000000000|86|000301000000000.86.A.000301000000000.86|133
01|01001|000301000000000|87|000301000000000.87.A.000301000000000.87|3550
01|01001|000301000000000|88|000301000000000.88.1A.000301000000000.88|175
01|01001|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1259
01|01001|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|4464
01|01001|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40361
01|01001|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|55600
01|01001|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|6973
01|01001|000501000000000|13|000501000000000.13.A.000501000000000.13|984
01|01001|000501000000000|87|000501000000000.87.B.000501000000000.87|25
01|01001|000501000000000|88|000501000000000.88.1A.000501000000000.88|181
01|01001|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1316
01|01001|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|4784
01|01001|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39826
01|01001|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|54140
01|01001|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|6766
01|01001|000801000000000|13|000801000000000.13.A.000801000000000.13|1010
01|01001|000801000000000|5|000801000000000.5.A.000801000000000.5|1635
01|01001|000801000000000|87|000801000000000.87.A.000801000000000.87|3380
01|01001|000801000000000|87|000801000000000.87.B.000801000000000.87|8
01|01001|000801000000000|88|000801000000000.88.1A.000801000000000.88|196
01|01001|000901001000000|01-501|000901001000000.01-501.A.000901001000000.01-501|4873
01|01001|000901001000000|01-502|000901001000000.01-502.A.000901001000000.01-502|39803
01|01001|000901001000000|01-503|000901001000000.01-503.A.000901001000000.01-503|54192
01|01001|000901001000000|01-504|000901001000000.01-504.A.000901001000000.01-504|6783
01|01001|000901001000000|13|000901001000000.13.A.000901001000000.13|1043
01|01001|000901001000000|5|000901001000000.5.A.000901001000000.5|1627
01|01002|000100000000000|13|000100000000000.13.A.000100000000000.13|692
01|01002|000100000000000|131|000100000000000.131.A.000100000000000.131|1384
01|01002|000100000000000|132|000100000000000.132.A.000100000000000.132|129
01|01002|000100000000000|133|000100000000000.133.A.000100000000000.133|2154
01|01002|000100000000000|135|000100000000000.135.A.000100000000000.135|50302
01|01002|000100000000000|136|000100000000000.136.A.000100000000000.136|15746
01|01002|000100000000000|137|000100000000000.137.A.000100000000000.137|5373
01|01002|000100000000000|36|000100000000000.36.A.000100000000000.36|64
01|01002|000100000000000|57|000100000000000.57.A.000100000000000.57|53
01|01002|000100000000000|87|000100000000000.87.A.000100000000000.87|2866
01|01002|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|645
01|01002|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|150
01|01002|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|90
01|01002|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|2309
01|01002|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|15178
01|01002|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|49621
01|01002|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|4481
01|01002|000201000000000|13|000201000000000.13.A.000201000000000.13|592
01|01002|000201000000000|5|000201000000000.5.A.000201000000000.5|2305
01|01002|000201000000000|86|000201000000000.86.A.000201000000000.86|57
01|01002|000201000000000|87|000201000000000.87.A.000201000000000.87|2521
01|01002|000201000000000|88|000201000000000.88.1A.000201000000000.88|54
01|01002|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|902
01|01002|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|151
01|01002|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|87
01|01002|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|2658
01|01002|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|14877
01|01002|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|49525
01|01002|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|4519
01|01002|000301000000000|13|000301000000000.13.A.000301000000000.13|574
01|01002|000301000000000|5|000301000000000.5.A.000301000000000.5|2259
01|01002|000301000000000|86|000301000000000.86.A.000301000000000.86|56
01|01002|000301000000000|87|000301000000000.87.A.000301000000000.87|2463
01|01002|000301000000000|88|000301000000000.88.1A.000301000000000.88|62
01|01002|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|620
01|01002|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|2224
01|01002|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|15340
01|01002|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|51533
01|01002|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|4344
01|01002|000501000000000|13|000501000000000.13.A.000501000000000.13|554
01|01002|000501000000000|87|000501000000000.87.B.000501000000000.87|4
01|01002|000501000000000|88|000501000000000.88.1A.000501000000000.88|69
01|01002|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|642
01|01002|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|2354
01|01002|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|15105
01|01002|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|50004
01|01002|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|4179
01|01002|000801000000000|13|000801000000000.13.A.000801000000000.13|570
01|01002|000801000000000|5|000801000000000.5.A.000801000000000.5|2150
01|01002|000801000000000|87|000801000000000.87.A.000801000000000.87|2324
01|01002|000801000000000|87|000801000000000.87.B.000801000000000.87|24
01|01002|000801000000000|88|000801000000000.88.1A.000801000000000.88|84
01|01002|000901002000000|01-501|000901002000000.01-501.A.000901002000000.01-501|2381
01|01002|000901002000000|01-502|000901002000000.01-502.A.000901002000000.01-502|15118
01|01002|000901002000000|01-503|000901002000000.01-503.A.000901002000000.01-503|50067
01|01002|000901002000000|01-504|000901002000000.01-504.A.000901002000000.01-504|4181
01|01002|000901002000000|13|000901002000000.13.A.000901002000000.13|579
01|01002|000901002000000|5|000901002000000.5.A.000901002000000.5|2131
01|01003|000100000000000|13|000100000000000.13.A.000100000000000.13|1352
01|01003|000100000000000|131|000100000000000.131.A.000100000000000.131|1390
01|01003|000100000000000|132|000100000000000.132.A.000100000000000.132|397
01|01003|000100000000000|133|000100000000000.133.A.000100000000000.133|4991
01|01003|000100000000000|135|000100000000000.135.A.000100000000000.135|45429
01|01003|000100000000000|136|000100000000000.136.A.000100000000000.136|42036
01|01003|000100000000000|137|000100000000000.137.A.000100000000000.137|9448
01|01003|000100000000000|36|000100000000000.36.A.000100000000000.36|184
01|01003|000100000000000|57|000100000000000.57.A.000100000000000.57|145
01|01003|000100000000000|87|000100000000000.87.A.000100000000000.87|3976
01|01003|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1477
01|01003|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|388
01|01003|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|265
01|01003|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|5299
01|01003|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|40281
01|01003|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|46125
01|01003|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|8127
01|01003|000201000000000|13|000201000000000.13.A.000201000000000.13|1150
01|01003|000201000000000|5|000201000000000.5.A.000201000000000.5|958
01|01003|000201000000000|86|000201000000000.86.A.000201000000000.86|158
01|01003|000201000000000|87|000201000000000.87.A.000201000000000.87|3556
01|01003|000201000000000|88|000201000000000.88.1A.000201000000000.88|161
01|01003|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1867
01|01003|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|389
01|01003|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|265
01|01003|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5910
01|01003|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|39538
01|01003|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|45651
01|01003|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|8082
01|01003|000301000000000|13|000301000000000.13.A.000301000000000.13|1120
01|01003|000301000000000|5|000301000000000.5.A.000301000000000.5|978
01|01003|000301000000000|86|000301000000000.86.A.000301000000000.86|157
01|01003|000301000000000|87|000301000000000.87.A.000301000000000.87|3511
01|01003|000301000000000|88|000301000000000.88.1A.000301000000000.88|177
01|01003|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1458
01|01003|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|5163
01|01003|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40419
01|01003|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|47062
01|01003|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|7928
01|01003|000501000000000|13|000501000000000.13.A.000501000000000.13|1110
01|01003|000501000000000|87|000501000000000.87.B.000501000000000.87|23
01|01003|000501000000000|88|000501000000000.88.1A.000501000000000.88|171
01|01003|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1495
01|01003|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|5548
01|01003|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39793
01|01003|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|45984
01|01003|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|7698
01|01003|000801000000000|13|000801000000000.13.A.000801000000000.13|1124
