CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|155968|21808365|0.71
00000000|000100000000000|131|575619|21808365|2.63
00000000|000100000000000|132|52479|21808365|0.24
00000000|000100000000000|133|629177|21808365|2.88
00000000|000100000000000|135|7050787|21808365|32.33
00000000|000100000000000|136|10309873|21808365|47.27
00000000|000100000000000|137|1827801|21808365|8.38
00000000|000100000000000|36|25944|21808365|0.11
00000000|000100000000000|57|33216|21808365|0.15
00000000|000100000000000|87|486218|21808365|2.22
00000000|000201000000000|01-187|23689|1843843|1.28
00000000|000201000000000|01-262|5043|1843843|0.27
00000000|000201000000000|01-343|3748|1843843|0.20
00000000|000201000000000|01-501|77973|1843843|4.22
00000000|000201000000000|01-502|588261|1843843|31.90
00000000|000201000000000|01-503|834547|1843843|45.26
00000000|000201000000000|01-504|138892|1843843|7.53
00000000|000201000000000|13|17753|1843843|0.96
00000000|000201000000000|5|16734|1843843|0.90
00000000|000201000000000|86|1880|1843843|0.10
00000000|000201000000000|87|57827|1843843|3.13
00000000|000201000000000|88|1932|1843843|0.10
00000000|000206000000000|06-156|15465|438802|3.52
00000000|000206000000000|06-179|2282|438802|0.52
00000000|000206000000000|06-180|1465|438802|0.33
00000000|000206000000000|06-501|261502|438802|59.59
00000000|000206000000000|06-502|2292|438802|0.52
00000000|000206000000000|06-503|112002|438802|25.52
00000000|000206000000000|06-504|10676|438802|2.43
00000000|000206000000000|33|3806|438802|0.86
00000000|000206000000000|71|5979|438802|1.36
00000000|000208000000000|08-501|348669|786081|44.35
00000000|000208000000000|08-502|287196|786081|36.53
00000000|000208000000000|13|7167|786081|0.91
00000000|000208000000000|50|67752|786081|8.61
00000000|000208000000000|68|17199|786081|2.18
00000000|000215000000000|13|3727|334526|1.11
00000000|000215000000000|15-151|66105|334526|19.76
00000000|000215000000000|15-501|81485|334526|24.35
00000000|000215000000000|15-502|16619|334526|4.96
00000000|000215000000000|15-503|117064|334526|34.99
00000000|000215000000000|15-504|17119|334526|5.11
00000000|000216000000000|13|3702|369501|1.00
00000000|000216000000000|16-169|108675|369501|29.41
00000000|000216000000000|16-502|162383|369501|43.94
00000000|000216000000000|16-503|12124|369501|3.28
00000000|000217000000000|17-501|299791|619992|48.35
00000000|000217000000000|17-502|112414|619992|18.13
00000000|000217000000000|17-503|140504|619992|22.66
00000000|000217000000000|17-504|21013|619992|3.38
00000000|000217000000000|19|28477|619992|4.59
00000000|000222000000000|22-178|3725|529384|0.70
00000000|000222000000000|22-179|2945|529384|0.55
00000000|000222000000000|22-501|299058|529384|56.49
00000000|000222000000000|22-502|106203|529384|20.06
00000000|000222000000000|22-503|71386|529384|13.48
00000000|000222000000000|38|5383|529384|1.01
00000000|000222000000000|40|14386|529384|2.71
00000000|000222000000000|87|3777|529384|0.71
00000000|000224000000000|24-187|4506|87063|5.17
00000000|000224000000000|24-203|2510|87063|2.88
00000000|000224000000000|24-501|35966|87063|41.31
00000000|000224000000000|24-502|15132|87063|17.38
00000000|000224000000000|24-503|10951|87063|12.57
00000000|000224000000000|69|7844|87063|9.00
00000000|000301000000000|01-187|30579|1843536|1.65
00000000|000301000000000|01-262|5013|1843536|0.27
00000000|000301000000000|01-343|3762|1843536|0.20
00000000|000301000000000|01-501|87278|1843536|4.73
00000000|000301000000000|01-502|577114|1843536|31.30
00000000|000301000000000|01-503|826311|1843536|44.82
00000000|000301000000000|01-504|138927|1843536|7.53
00000000|000301000000000|13|17306|1843536|0.93
00000000|000301000000000|5|16791|1843536|0.91
