CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1167|119314|0.97
01|01001|000100000000000|131|1742|119314|1.46
01|01001|000100000000000|132|375|119314|0.31
01|01001|000100000000000|133|4318|119314|3.61
01|01001|000100000000000|135|53811|119314|45.10
01|01001|000100000000000|136|41754|119314|34.99
01|01001|000100000000000|137|8185|119314|6.86
01|01001|000100000000000|36|140|119314|0.11
01|01001|000100000000000|57|158|119314|0.13
01|01001|000100000000000|87|4055|119314|3.39
01|01001|000201000000000|01-187|1308|119180|1.09
01|01001|000201000000000|01-262|390|119180|0.32
01|01001|000201000000000|01-343|277|119180|0.23
01|01001|000201000000000|01-501|4550|119180|3.81
01|01001|000201000000000|01-502|39958|119180|33.52
01|01001|000201000000000|01-503|53783|119180|45.12
01|01001|000201000000000|01-504|7121|119180|5.97
01|01001|000201000000000|13|1016|119180|0.85
01|01001|000201000000000|5|1718|119180|1.44
01|01001|000201000000000|86|134|119180|0.11
01|01001|000201000000000|87|3634|119180|3.04
01|01001|000201000000000|88|159|119180|0.13
01|01001|000301000000000|01-187|1662|119105|1.39
01|01001|000301000000000|01-262|388|119105|0.32
01|01001|000301000000000|01-343|262|119105|0.21
01|01001|000301000000000|01-501|5084|119105|4.26
01|01001|000301000000000|01-502|39181|119105|32.89
01|01001|000301000000000|01-503|53480|119105|44.90
01|01001|000301000000000|01-504|7128|119105|5.98
01|01001|000301000000000|13|985|119105|0.82
01|01001|000301000000000|5|1695|119105|1.42
01|01001|000301000000000|86|133|119105|0.11
01|01001|000301000000000|87|3550|119105|2.98
01|01001|000301000000000|88|175|119105|0.14
01|01001|000501000000000|01-187|1259|119825|1.05
01|01001|000501000000000|01-501|4464|119825|3.72
01|01001|000501000000000|01-502|40361|119825|33.68
01|01001|000501000000000|01-503|55600|119825|46.40
01|01001|000501000000000|01-504|6973|119825|5.81
01|01001|000501000000000|13|984|119825|0.82
01|01001|000501000000000|87|25|119825|0.02
01|01001|000501000000000|88|181|119825|0.15
01|01001|000801000000000|01-187|1316|119976|1.09
01|01001|000801000000000|01-501|4784|119976|3.98
01|01001|000801000000000|01-502|39826|119976|33.19
01|01001|000801000000000|01-503|54140|119976|45.12
01|01001|000801000000000|01-504|6766|119976|5.63
01|01001|000801000000000|13|1010|119976|0.84
01|01001|000801000000000|5|1635|119976|1.36
01|01001|000801000000000|87|3388|119976|2.82
01|01001|000801000000000|88|196|119976|0.16
01|01001|000901001000000|01-501|4873|119647|4.07
01|01001|000901001000000|01-502|39803|119647|33.26
01|01001|000901001000000|01-503|54192|119647|45.29
01|01001|000901001000000|01-504|6783|119647|5.66
01|01001|000901001000000|13|1043|119647|0.87
01|01001|000901001000000|5|1627|119647|1.35
01|01002|000100000000000|13|773|92894|0.83
01|01002|000100000000000|131|1617|92894|1.74
01|01002|000100000000000|132|155|92894|0.16
01|01002|000100000000000|133|2389|92894|2.57
01|01002|000100000000000|135|58396|92894|62.86
01|01002|000100000000000|136|17932|92894|19.30
01|01002|000100000000000|137|5983|92894|6.44
01|01002|000100000000000|36|68|92894|0.07
01|01002|000100000000000|57|58|92894|0.06
01|01002|000100000000000|87|3278|92894|3.52
01|01002|000201000000000|01-187|703|92556|0.75
01|01002|000201000000000|01-262|179|92556|0.19
01|01002|000201000000000|01-343|100|92556|0.10
01|01002|000201000000000|01-501|2563|92556|2.76
01|01002|000201000000000|01-502|17209|92556|18.59
01|01002|000201000000000|01-503|57384|92556|61.99
01|01002|000201000000000|01-504|4988|92556|5.38
01|01002|000201000000000|13|654|92556|0.70
01|01002|000201000000000|5|2718|92556|2.93
01|01002|000201000000000|86|64|92556|0.06
01|01002|000201000000000|87|2891|92556|3.12
01|01002|000201000000000|88|63|92556|0.06
01|01002|000301000000000|01-187|997|92546|1.07
01|01002|000301000000000|01-262|179|92546|0.19
01|01002|000301000000000|01-343|95|92546|0.10
01|01002|000301000000000|01-501|2953|92546|3.19
01|01002|000301000000000|01-502|16872|92546|18.23
01|01002|000301000000000|01-503|57291|92546|61.90
01|01002|000301000000000|01-504|5033|92546|5.43
01|01002|000301000000000|13|633|92546|0.68
01|01002|000301000000000|5|2655|92546|2.86
01|01002|000301000000000|86|64|92546|0.06
01|01002|000301000000000|87|2825|92546|3.05
01|01002|000301000000000|88|76|92546|0.08
01|01002|000501000000000|01-187|673|92408|0.72
01|01002|000501000000000|01-501|2463|92408|2.66
01|01002|000501000000000|01-502|17385|92408|18.81
01|01002|000501000000000|01-503|59627|92408|64.52
01|01002|000501000000000|01-504|4856|92408|5.25
01|01002|000501000000000|13|612|92408|0.66
01|01002|000501000000000|87|4|92408|0.00
01|01002|000501000000000|88|81|92408|0.08
01|01002|000801000000000|01-187|702|92784|0.75
01|01002|000801000000000|01-501|2612|92784|2.81
01|01002|000801000000000|01-502|17117|92784|18.44
01|01002|000801000000000|01-503|57850|92784|62.34
01|01002|000801000000000|01-504|4654|92784|5.01
01|01002|000801000000000|13|627|92784|0.67
01|01002|000801000000000|5|2515|92784|2.71
01|01002|000801000000000|87|2690|92784|2.89
01|01002|000801000000000|88|92|92784|0.09
01|01002|000901002000000|01-501|2642|92563|2.85
01|01002|000901002000000|01-502|17129|92563|18.50
01|01002|000901002000000|01-503|57910|92563|62.56
01|01002|000901002000000|01-504|4658|92563|5.03
01|01002|000901002000000|13|638|92563|0.68
01|01002|000901002000000|5|2499|92563|2.69
01|01003|000100000000000|13|1355|113309|1.19
01|01003|000100000000000|131|1396|113309|1.23
01|01003|000100000000000|132|398|113309|0.35
