CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|515|000100000000000|VB|3674
01|01001|522|515|000100000000000|VII|14
01|01001|522|515|000100000000000|VN|1010
01|01001|522|515|000100000000000|VR|62
01|01001|522|515|000201000000000|VB|5192
01|01001|522|515|000201000000000|VII|7
01|01001|522|515|000201000000000|VN|942
01|01001|522|515|000201000000000|VR|60
01|01001|522|515|000301000000000|VB|5447
01|01001|522|515|000301000000000|VII|9
01|01001|522|515|000301000000000|VN|969
01|01001|522|515|000301000000000|VR|64
01|01001|522|515|000501000000000|VB|10106
01|01001|522|515|000501000000000|VII|9
01|01001|522|515|000501000000000|VN|914
01|01001|522|515|000501000000000|VR|61
01|01001|522|515|000801000000000|VB|7009
01|01001|522|515|000801000000000|VII|10
01|01001|522|515|000801000000000|VN|926
01|01001|522|515|000801000000000|VR|60
01|01001|522|515|000901001000000|VB|11457
01|01001|522|515|000901001000000|VII|10
01|01001|522|515|000901001000000|VN|881
01|01001|522|515|000901001000000|VR|66
01|01002|417|414|000100000000000|VB|2491
01|01002|417|414|000100000000000|VII|21
01|01002|417|414|000100000000000|VN|755
01|01002|417|414|000100000000000|VR|39
01|01002|417|414|000201000000000|VB|3382
01|01002|417|414|000201000000000|VII|21
01|01002|417|414|000201000000000|VN|754
01|01002|417|414|000201000000000|VR|43
01|01002|417|414|000301000000000|VB|3206
01|01002|417|414|000301000000000|VII|21
01|01002|417|414|000301000000000|VN|751
01|01002|417|414|000301000000000|VR|43
01|01002|417|414|000501000000000|VB|7472
01|01002|417|414|000501000000000|VII|25
01|01002|417|414|000501000000000|VN|661
01|01002|417|414|000501000000000|VR|47
01|01002|417|414|000801000000000|VB|4375
01|01002|417|414|000801000000000|VII|21
01|01002|417|414|000801000000000|VN|702
01|01002|417|414|000801000000000|VR|44
01|01002|417|414|000901002000000|VB|7843
01|01002|417|414|000901002000000|VII|25
01|01002|417|414|000901002000000|VN|650
01|01002|417|414|000901002000000|VR|65
01|01003|472|468|000100000000000|VB|3790
01|01003|472|468|000100000000000|VII|7
01|01003|472|468|000100000000000|VN|1299
01|01003|472|468|000100000000000|VR|25
01|01003|472|468|000201000000000|VB|5051
01|01003|472|468|000201000000000|VII|6
01|01003|472|468|000201000000000|VN|1262
01|01003|472|468|000201000000000|VR|24
01|01003|472|468|000301000000000|VB|5396
01|01003|472|468|000301000000000|VII|6
01|01003|472|468|000301000000000|VN|1244
01|01003|472|468|000301000000000|VR|24
01|01003|472|468|000501000000000|VB|10027
01|01003|472|468|000501000000000|VII|6
01|01003|472|468|000501000000000|VN|1166
01|01003|472|468|000501000000000|VR|23
01|01003|472|468|000801000000000|VB|7227
01|01003|472|468|000801000000000|VII|6
01|01003|472|468|000801000000000|VN|1171
01|01003|472|468|000801000000000|VR|24
01|01003|472|468|000901003000000|VB|11937
01|01003|472|468|000901003000000|VII|12
01|01003|472|468|000901003000000|VN|1150
01|01003|472|468|000901003000000|VR|29
01|01004|529|525|000100000000000|VB|5801
01|01004|529|525|000100000000000|VII|35
01|01004|529|525|000100000000000|VN|1426
01|01004|529|525|000100000000000|VR|36
01|01004|529|525|000201000000000|VB|8324
01|01004|529|525|000201000000000|VII|36
