CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|173045|24310841|0.71
00000000|000100000000000|131|640983|24310841|2.63
00000000|000100000000000|132|58380|24310841|0.24
00000000|000100000000000|133|695369|24310841|2.86
00000000|000100000000000|135|7803614|24310841|32.09
00000000|000100000000000|136|11582177|24310841|47.64
00000000|000100000000000|137|2001335|24310841|8.23
00000000|000100000000000|36|32450|24310841|0.13
00000000|000100000000000|57|36253|24310841|0.14
00000000|000100000000000|87|531851|24310841|2.18
00000000|000201000000000|01-187|24667|1927827|1.27
00000000|000201000000000|01-262|5239|1927827|0.27
00000000|000201000000000|01-343|3863|1927827|0.20
00000000|000201000000000|01-501|81016|1927827|4.20
00000000|000201000000000|01-502|611101|1927827|31.69
00000000|000201000000000|01-503|877613|1927827|45.52
00000000|000201000000000|01-504|144587|1927827|7.49
00000000|000201000000000|13|18474|1927827|0.95
00000000|000201000000000|5|18049|1927827|0.93
00000000|000201000000000|86|1938|1927827|0.10
00000000|000201000000000|87|60453|1927827|3.13
00000000|000201000000000|88|2001|1927827|0.10
00000000|000206000000000|06-156|18581|551909|3.36
00000000|000206000000000|06-179|2697|551909|0.48
00000000|000206000000000|06-180|1788|551909|0.32
00000000|000206000000000|06-501|336036|551909|60.88
00000000|000206000000000|06-502|2673|551909|0.48
00000000|000206000000000|06-503|138752|551909|25.14
00000000|000206000000000|06-504|12619|551909|2.28
00000000|000206000000000|33|4329|551909|0.78
00000000|000206000000000|71|6761|551909|1.22
00000000|000208000000000|08-501|359956|810913|44.38
00000000|000208000000000|08-502|296265|810913|36.53
00000000|000208000000000|13|7360|810913|0.90
00000000|000208000000000|50|69873|810913|8.61
00000000|000208000000000|68|17741|810913|2.18
00000000|000215000000000|13|4213|377837|1.11
00000000|000215000000000|15-151|77069|377837|20.39
00000000|000215000000000|15-501|90429|377837|23.93
00000000|000215000000000|15-502|18724|377837|4.95
00000000|000215000000000|15-503|131796|377837|34.88
00000000|000215000000000|15-504|18945|377837|5.01
00000000|000216000000000|13|3820|385478|0.99
00000000|000216000000000|16-169|113808|385478|29.52
00000000|000216000000000|16-502|169525|385478|43.97
00000000|000216000000000|16-503|12531|385478|3.25
00000000|000217000000000|17-501|307936|635611|48.44
00000000|000217000000000|17-502|115264|635611|18.13
00000000|000217000000000|17-503|143583|635611|22.58
00000000|000217000000000|17-504|21553|635611|3.39
00000000|000217000000000|19|29159|635611|4.58
00000000|000222000000000|22-178|3827|542690|0.70
00000000|000222000000000|22-179|2970|542690|0.54
00000000|000222000000000|22-501|306652|542690|56.50
00000000|000222000000000|22-502|108790|542690|20.04
00000000|000222000000000|22-503|73192|542690|13.48
00000000|000222000000000|38|5540|542690|1.02
00000000|000222000000000|40|14795|542690|2.72
00000000|000222000000000|87|3868|542690|0.71
00000000|000224000000000|24-187|4713|92563|5.09
00000000|000224000000000|24-203|2635|92563|2.84
00000000|000224000000000|24-501|38334|92563|41.41
00000000|000224000000000|24-502|15958|92563|17.24
00000000|000224000000000|24-503|11588|92563|12.51
00000000|000224000000000|69|8489|92563|9.17
00000000|000301000000000|01-187|31876|1927606|1.65
00000000|000301000000000|01-262|5206|1927606|0.27
00000000|000301000000000|01-343|3875|1927606|0.20
00000000|000301000000000|01-501|90747|1927606|4.70
00000000|000301000000000|01-502|599520|1927606|31.10
00000000|000301000000000|01-503|869149|1927606|45.08
00000000|000301000000000|01-504|144659|1927606|7.50
00000000|000301000000000|13|17997|1927606|0.93
00000000|000301000000000|5|18098|1927606|0.93
00000000|000301000000000|86|1970|1927606|0.10
00000000|000301000000000|87|59582|1927606|3.09
00000000|000301000000000|88|2144|1927606|0.11
00000000|000302000000000|02-207|15524|9119390|0.17
00000000|000302000000000|02-276|68390|9119390|0.74
00000000|000302000000000|02-309|10810|9119390|0.11
00000000|000302000000000|02-312|23384|9119390|0.25
00000000|000302000000000|02-314|7839|9119390|0.08
00000000|000302000000000|02-315|1790|9119390|0.01
00000000|000302000000000|02-503|4453179|9119390|48.83
00000000|000302000000000|02-816|20171|9119390|0.22
00000000|000302000000000|133|335310|9119390|3.67
00000000|000302000000000|135|2826409|9119390|30.99
00000000|000302000000000|137|617860|9119390|6.77
00000000|000302000000000|79|8855|9119390|0.09
00000000|000303000000000|03-183|905|174025|0.52
00000000|000303000000000|03-198|537|174025|0.30
00000000|000303000000000|03-218|690|174025|0.39
00000000|000303000000000|03-501|1332|174025|0.76
00000000|000303000000000|03-503|99700|174025|57.29
00000000|000303000000000|03-504|8432|174025|4.84
00000000|000303000000000|03-505|2173|174025|1.24
00000000|000303000000000|03-506|44163|174025|25.37
00000000|000304000000000|04-217|49397|2039748|2.42
00000000|000304000000000|04-501|9462|2039748|0.46
00000000|000304000000000|04-502|839094|2039748|41.13
00000000|000304000000000|04-503|342004|2039748|16.76
00000000|000304000000000|04-504|62151|2039748|3.04
00000000|000304000000000|04-505|473829|2039748|23.22
00000000|000304000000000|04-506|105444|2039748|5.16
00000000|000304000000000|13|16168|2039748|0.79
00000000|000304000000000|23|2909|2039748|0.14
00000000|000304000000000|57|7452|2039748|0.36
00000000|000304000000000|87|42480|2039748|2.08
00000000|000305000000000|05-216|18687|579411|3.22
00000000|000305000000000|05-501|303004|579411|52.29
00000000|000305000000000|05-502|207848|579411|35.87
00000000|000305000000000|05-503|26629|579411|4.59
00000000|000306000000000|06-156|18378|548459|3.35
00000000|000306000000000|06-179|2785|548459|0.50
00000000|000306000000000|06-180|1844|548459|0.33
00000000|000306000000000|06-501|329907|548459|60.15
00000000|000306000000000|06-502|2893|548459|0.52
00000000|000306000000000|06-503|138839|548459|25.31
00000000|000306000000000|06-504|12495|548459|2.27
00000000|000306000000000|33|4337|548459|0.79
00000000|000306000000000|71|6790|548459|1.23
00000000|000307000000000|07-151|6933|297680|2.32
00000000|000307000000000|07-152|18082|297680|6.07
00000000|000307000000000|07-501|122565|297680|41.17
00000000|000307000000000|07-502|32881|297680|11.04
00000000|000307000000000|07-503|67266|297680|22.59
00000000|000307000000000|07-504|11213|297680|3.76
00000000|000308000000000|08-501|356692|809185|44.08
00000000|000308000000000|08-502|295603|809185|36.53
00000000|000308000000000|13|7353|809185|0.90
00000000|000308000000000|50|70113|809185|8.66
00000000|000308000000000|68|18257|809185|2.25
00000000|000309000000000|09-501|203289|315658|64.40
00000000|000309000000000|09-502|11200|315658|3.54
00000000|000309000000000|09-503|81072|315658|25.68
00000000|000309000000000|38|3012|315658|0.95
00000000|000310000000000|10-501|157916|336599|46.91
00000000|000310000000000|10-502|93811|336599|27.87
00000000|000310000000000|10-503|27920|336599|8.29
00000000|000310000000000|10-504|16259|336599|4.83
00000000|000310000000000|33|3971|336599|1.17
00000000|000311000000000|11-501|105915|210600|50.29
00000000|000311000000000|11-502|69724|210600|33.10
00000000|000311000000000|11-503|4879|210600|2.31
00000000|000311000000000|13|2501|210600|1.18
00000000|000311000000000|50|15819|210600|7.51
00000000|000312000000000|12-501|4123|183502|2.24
00000000|000312000000000|12-502|59803|183502|32.58
00000000|000312000000000|12-503|93562|183502|50.98
00000000|000312000000000|13|1528|183502|0.83
00000000|000312000000000|33|142|183502|0.07
00000000|000312000000000|82|4702|183502|2.56
00000000|000313000000000|13-222|98529|1072417|9.18
00000000|000313000000000|13-501|47307|1072417|4.41
00000000|000313000000000|13-502|428630|1072417|39.96
00000000|000313000000000|13-503|419380|1072417|39.10
00000000|000314000000000|14-501|149062|642579|23.19
00000000|000314000000000|14-502|228724|642579|35.59
00000000|000314000000000|14-503|167056|642579|25.99
00000000|000314000000000|50|20996|642579|3.26
00000000|000314000000000|71|7939|642579|1.23
00000000|000315000000000|13|3993|377656|1.05
00000000|000315000000000|15-151|72881|377656|19.29
00000000|000315000000000|15-501|88769|377656|23.50
00000000|000315000000000|15-502|19769|377656|5.23
00000000|000315000000000|15-503|132332|377656|35.04
00000000|000315000000000|15-504|19107|377656|5.05
00000000|000316000000000|13|3912|382003|1.02
00000000|000316000000000|16-169|88633|382003|23.20
00000000|000316000000000|16-501|53560|382003|14.02
00000000|000316000000000|16-502|168640|382003|44.14
00000000|000316000000000|16-503|12985|382003|3.39
00000000|000317000000000|17-501|306261|630577|48.56
00000000|000317000000000|17-502|113303|630577|17.96
00000000|000317000000000|17-503|140762|630577|22.32
00000000|000317000000000|17-504|23021|630577|3.65
00000000|000317000000000|19|28475|630577|4.51
00000000|000318000000000|18-168|5935|421426|1.40
00000000|000318000000000|18-177|1118|421426|0.26
00000000|000318000000000|18-501|228841|421426|54.30
00000000|000318000000000|18-502|6143|421426|1.45
00000000|000318000000000|18-503|128798|421426|30.56
00000000|000318000000000|18-504|32492|421426|7.71
00000000|000319000000000|137|20551|270906|7.58
00000000|000319000000000|19-213|2412|270906|0.89
00000000|000319000000000|19-501|8167|270906|3.01
00000000|000319000000000|19-502|95142|270906|35.11
00000000|000319000000000|19-503|118869|270906|43.87
00000000|000320000000000|13|948|167112|0.56
00000000|000320000000000|20-176|7568|167112|4.52
00000000|000320000000000|20-501|4639|167112|2.77
00000000|000320000000000|20-502|69235|167112|41.43
00000000|000320000000000|20-503|29451|167112|17.62
00000000|000321000000000|13|10684|1943640|0.54
00000000|000321000000000|21-177|2172|1943640|0.11
00000000|000321000000000|21-199|2337|1943640|0.12
00000000|000321000000000|21-501|64008|1943640|3.29
00000000|000321000000000|21-502|237491|1943640|12.21
00000000|000321000000000|21-503|43500|1943640|2.23
00000000|000321000000000|21-504|646107|1943640|33.24
00000000|000321000000000|21-505|824585|1943640|42.42
00000000|000321000000000|21-506|2813|1943640|0.14
00000000|000321000000000|36|3649|1943640|0.18
00000000|000321000000000|65|2992|1943640|0.15
00000000|000321000000000|87|54359|1943640|2.79
00000000|000322000000000|22-178|3674|538955|0.68
00000000|000322000000000|22-179|2700|538955|0.50
00000000|000322000000000|22-501|302129|538955|56.05
00000000|000322000000000|22-502|107804|538955|20.00
00000000|000322000000000|22-503|72016|538955|13.36
00000000|000322000000000|38|5566|538955|1.03
00000000|000322000000000|40|14905|538955|2.76
00000000|000322000000000|87|3779|538955|0.70
00000000|000323000000000|23-181|56112|922126|6.08
00000000|000323000000000|23-501|491564|922126|53.30
00000000|000323000000000|23-502|223117|922126|24.19
00000000|000323000000000|23-503|19763|922126|2.14
00000000|000323000000000|23-504|63355|922126|6.87
00000000|000324000000000|24-187|4682|93989|4.98
00000000|000324000000000|24-203|3208|93989|3.41
00000000|000324000000000|24-501|36050|93989|38.35
00000000|000324000000000|24-502|14992|93989|15.95
00000000|000324000000000|24-503|12305|93989|13.09
00000000|000324000000000|69|6480|93989|6.89
01|000100000000000|13|21464|1929374|1.11
01|000100000000000|131|22582|1929374|1.17
01|000100000000000|132|5169|1929374|0.26
01|000100000000000|133|75708|1929374|3.92
01|000100000000000|135|862613|1929374|44.70
01|000100000000000|136|637634|1929374|33.04
01|000100000000000|137|168516|1929374|8.73
01|000100000000000|36|2126|1929374|0.11
01|000100000000000|57|2405|1929374|0.12
01|000100000000000|87|68788|1929374|3.56
01|000201000000000|01-187|24667|1927827|1.27
01|000201000000000|01-262|5239|1927827|0.27
01|000201000000000|01-343|3863|1927827|0.20
01|000201000000000|01-501|81016|1927827|4.20
01|000201000000000|01-502|611101|1927827|31.69
01|000201000000000|01-503|877613|1927827|45.52
01|000201000000000|01-504|144587|1927827|7.49
01|000201000000000|13|18474|1927827|0.95
01|000201000000000|5|18049|1927827|0.93
01|000201000000000|86|1938|1927827|0.10
01|000201000000000|87|60453|1927827|3.13
01|000201000000000|88|2001|1927827|0.10
01|000301000000000|01-187|31876|1927606|1.65
01|000301000000000|01-262|5206|1927606|0.27
01|000301000000000|01-343|3875|1927606|0.20
01|000301000000000|01-501|90747|1927606|4.70
01|000301000000000|01-502|599520|1927606|31.10
01|000301000000000|01-503|869149|1927606|45.08
01|000301000000000|01-504|144659|1927606|7.50
01|000301000000000|13|17997|1927606|0.93
01|000301000000000|5|18098|1927606|0.93
01|000301000000000|86|1970|1927606|0.10
01|000301000000000|87|59582|1927606|3.09
01|000301000000000|88|2144|1927606|0.11
01|000501000000000|01-187|23385|1931020|1.21
01|000501000000000|01-501|77458|1931020|4.01
01|000501000000000|01-502|616661|1931020|31.93
01|000501000000000|01-503|897484|1931020|46.47
01|000501000000000|01-504|139505|1931020|7.22
01|000501000000000|13|17518|1931020|0.90
01|000501000000000|87|976|1931020|0.05
01|000501000000000|88|2206|1931020|0.11
02|000100000000000|13|71513|9152571|0.78
02|000100000000000|131|170424|9152571|1.86
02|000100000000000|132|22452|9152571|0.24
02|000100000000000|133|317389|9152571|3.46
02|000100000000000|135|2735810|9152571|29.89
02|000100000000000|136|4635843|9152571|50.65
02|000100000000000|137|707233|9152571|7.72
02|000100000000000|36|8743|9152571|0.09
02|000100000000000|57|5872|9152571|0.06
02|000100000000000|87|173985|9152571|1.90
02|000302000000000|02-207|15524|9119390|0.17
02|000302000000000|02-276|68390|9119390|0.74
02|000302000000000|02-309|10810|9119390|0.11
02|000302000000000|02-312|23384|9119390|0.25
02|000302000000000|02-314|7839|9119390|0.08
02|000302000000000|02-315|1790|9119390|0.01
02|000302000000000|02-503|4453179|9119390|48.83
02|000302000000000|02-816|20171|9119390|0.22
02|000302000000000|133|335310|9119390|3.67
02|000302000000000|135|2826409|9119390|30.99
02|000302000000000|137|617860|9119390|6.77
02|000302000000000|79|8855|9119390|0.09
02|000402000000000|02-1911|156923|9300727|1.68
02|000402000000000|02-276|63592|9300727|0.68
02|000402000000000|02-309|11049|9300727|0.11
02|000402000000000|02-503|4588451|9300727|49.33
02|000402000000000|02-816|20328|9300727|0.21
02|000402000000000|02-865|20763|9300727|0.22
02|000402000000000|133|302919|9300727|3.25
02|000402000000000|135|3029965|9300727|32.57
02|000402000000000|137|542071|9300727|5.82
03|000100000000000|13|683|179682|0.38
03|000100000000000|131|1856|179682|1.03
03|000100000000000|132|348|179682|0.19
03|000100000000000|133|2386|179682|1.32
03|000100000000000|135|46159|179682|25.68
03|000100000000000|136|103198|179682|57.43
03|000100000000000|137|11434|179682|6.36
03|000100000000000|36|6|179682|0.00
03|000100000000000|57|271|179682|0.15
03|000100000000000|87|175|179682|0.09
03|000303000000000|03-183|905|174025|0.52
03|000303000000000|03-198|537|174025|0.30
03|000303000000000|03-218|690|174025|0.39
03|000303000000000|03-501|1332|174025|0.76
03|000303000000000|03-503|99700|174025|57.29
03|000303000000000|03-504|8432|174025|4.84
03|000303000000000|03-505|2173|174025|1.24
